Finding ID,Source File,URL,Finding Type,Persona / Context,Best Details,What This Proves,Portfolio Potential,Resume Potential,Confidence,Use Caveat,Reviewed,Next Follow-Up,Notes
DF-0065,Morgan _ Hot Zones 20-21.xlsx,https://docs.google.com/spreadsheets/d/10dSbKt15y44xNJz84aAlLLH4_KBhrZgw/edit?usp=drivesdk,CRM / Territory Management — Morgan’s HZ District Tracking System,Morgan’s personal HZ district tracking for 20-21 season; multi-stakeholder; comprehensive planning system,"40+ column comprehensive district tracking system. Sections: District Essential Info (name, state, website, customers, quotes, neighbor districts), HZ Info (fall scrub, fall reachout dates), Salesforce (parent account, contact schedule, year start, planning start dates), District Office contacts (title, email, status), Superintendent contacts (email, status), PTA Council contacts (name, website, contact name, title, email, status — multiple layers), Additional Notes (Feedly, On Map, E-Flyer, Green Initiatives). Customer quotes from existing schools included as social proof. Multiple PTA council layers per district. Competitive intelligence via neighbor districts with existing customers.",Self-built comprehensive district prospecting system; multi-stakeholder contact management (admin + superintendent + multiple PTA council layers); outreach scheduling and seasonal planning; competitive intelligence (neighbor district mapping); customer quote social proof integration; Feedly competitive monitoring; green school initiative awareness; Salesforce parent account integration,Very High — the most detailed single evidence of Morgan’s self-built territory management system; demonstrates CRM + strategic planning + competitive intelligence in one artifact,"Very High — territory management, multi-stakeholder prospecting, CRM/Salesforce integration, competitive intelligence, seasonal planning, self-built system",High,Morgan-prefix in filename confirms this is specifically her work. Large file; only first portion sampled. Full content will contain more districts and contacts.,2026-05-02,,One of the strongest CRM/territory management artifacts found. The 40+ column structure she built is strong evidence of operational sophistication beyond standard SDR work.
DF-0066,2-16-23 Pod Meeting MPP.docx,https://docs.google.com/document/d/1PQPuQifhdVrZsXOxux1XRagI3y3rQx6_/edit?usp=drivesdk,Meeting Notes — Pod Leadership / Coaching,"SDR pod; Feb 16, 2023; Ansley joining; Morgan facilitating; spring pipeline focus","Morgan facilitating recorded pod meeting. Focus: staying on top of engaged prospects with customization as key differentiator. Topics covered: step edits in emails (what to PUT in them, not just how), Vidyard (personal vs. pre-recorded), looking for customers nearby as social proof, Salesforce variable fields (mascot, etc.). Deep dives: Calls/Voicemails — Morgan emphasizing importance despite team frustration; handwritten notes/postcards (Bobby’s resource); Personal Note Field in Outreach — screenshare demo of bulk personalization feature; Vidyard personal videos only. Group discussion prompt: “What’s one of your favorite or most successful customizations?”",Pod leadership and coaching role; Outreach platform expertise (Personal Note bulk personalization field); multi-channel engagement advocacy (email + VM + handwritten notes + Vidyard); spring pipeline management coaching; teaching customization depth not just mechanics,"High — Morgan running and facilitating the pod meeting, coaching team on engagement tactics with screenshare demos","High — leadership role, SDR coaching, Outreach expertise, multi-channel strategy, team development",High,Morgan is clearly facilitating/leading this meeting. 'Record!' at top confirms she initiated recording. Strong coaching leadership artifact.,2026-05-02,,Pairs well with SIA training notes as evidence of both receiving and delivering SDR coaching. Shows leadership arc.
DF-0067,6-9-2023 Rev Meeting Notes.docx,https://docs.google.com/document/d/1osFaa90tnjRpIkH2XWYXY574REGDMsg3/edit?usp=drivesdk,Meeting Notes — Revenue/Product Leadership,"Revenue meeting, June 9, 2023; Bobby leading; Morgan note-taker","Revenue gap discussion: get actual revenue closer to estimated, how to close gap. Jeffco RFP needs completion (organize into correct format). Coverage assignments while Bobby is gone. Product Store Phase 1 (mugs, ornaments, totes, canvas prints) and Phase 2 (school-focused hoodies, shirts, textiles). Fundraising cash-back discussion per product type. Store kill-switch requirement for select schools. Kelsey Austin: one-to-one sync between TR app, Salesforce, and Marketing Cloud — customer dashboards for retention and custom page sales. ChatGPT/Generative AI: ‘It’s coming’ — be cautious about brand voice; even Salesforce integrating AI. Purchase Discounts for Fall: August-Sept 10%, Oct 5%, Jan process updates.",Participation in product strategy discussions; Salesforce/Marketing Cloud integration awareness; AI/brand voice caution; revenue gap strategy; RFP process knowledge,Medium — Morgan is note-taker; Bobby appears to be running the meeting; provides revenue/product strategy context,"Medium — revenue strategy, product development, Salesforce/MC integration, AI awareness",Medium,"Bobby is likely the meeting leader. Morgan’s role is note-taker/participant. Use for context on product strategy and tech stack awareness, not solo leadership evidence.",2026-05-02,,
DF-0068,Kickoff Meeting Agenda!!.docx,https://docs.google.com/document/d/1bKAuNxGuXA_oE90ldokII_RKOwYD7UN6/edit?usp=drivesdk,Meeting Agenda — Marketing + Content Committee Kickoff,"Marketing + CC cross-functional kickoff; Bobby and Kristina present; Jen, Morgan, team","Formal kickoff agenda with linked deliverables. Key items: (1) Review 21-22 suggested collections in Outreach, Bobby input on naming convention; (2) Who adds snippets to collections — POD working session vs. CC lead vs. user self-apply; (3) Give Marketing regular access to CC feedback survey (SurveyMonkey): CC collects, digests, shares monthly report; (4) A/B Testing discussion; (5) Full sequence list review (Outreach Sequence List doc linked); (6) Team collaborative process for sequence drafts; (7) Variable Formatting spreadsheet — complex, share guidelines; (8) Sequence Naming standard (delete school year from titles?); (9) Future: share CC’s full project list with team.","CC as formal cross-functional program (Marketing + Sales); A/B testing mindset; structured content governance (naming, variables, collections, feedback pipeline); monthly reporting cadence; operational maturity in content program management","Very High — formal kickoff agenda shows CC operating as a structured cross-functional program, not an informal side project","Very High — CC leadership, cross-functional coordination, content operations, A/B testing, variable system, sequence architecture",High,"Confirms CC has formal cadence, linked deliverables, and cross-functional buy-in from Bobby and Kristina. Strong companion to CC Summer 2022 planning doc.",2026-05-02,,"References Outreach Sequence List, Variable Formatting spreadsheet, and 2021 Content Feedback survey — these may appear elsewhere in the archive."
DF-0069,18_19____HZ_Follow_Ups__Spring__Previously_Cont.csv,https://drive.google.com/file/d/1CQJRO--1lxYhJ7VyFmykIKS5natCbEm1/view?usp=drivesdk,CRM / Campaign Data Export — HZ Spring Previously Contacted,Wake County Schools; HZ Spring Follow-Up campaign; 18-19 season; Outreach export,"Outreach CSV export of HZ Spring Previously Contacted prospects. Fields include: school name, email, estimated value per school ($3,200–$14,528 range visible), district, community type, lead status (unresponsive), opened flag (true), at step (Step 4), campaign state (Active), next step timing. Social proof snippets included (referencing other Wake County schools). Confirms active Outreach campaign management for the HZ Spring Previously Contacted segment.",Real Outreach campaign data for the HZ Spring sequence; confirms Salesforce/Outreach integration; estimated value tracking per school; lead status and step tracking; district-level campaign management,High — raw Outreach export data supporting the verified HZ Spring 1st Touch metrics (85% open / 39% reply); shows CRM + Outreach integration in practice,"High — CRM/Outreach integration, district campaign management, estimated value tracking, HZ Spring campaign evidence",High,"File is large (67KB); only first portion sampled. Full file will contain more prospects. The verified 85%/39% HZ Spring metrics came from screenshots, not this file, but this file proves the campaign existed and shows the data structure.",2026-05-02,,Pairs with HZ Follow Ups by District (previously reviewed) and Morgan Hot Zones 20-21 as a complete picture of HZ territory management.
DF-0070,ALL HZ Schools-2021.xlsx,https://docs.google.com/spreadsheets/d/18dhTcrnH-dCK1tiBpMxVUV86vdeU6bc0/edit?usp=drivesdk,CRM / Territory Prioritization — HZ District Keep/Give Decisions,"Morgan’s HZ territory prioritization; as of 7/21/21; 1,578 total schools across 100+ districts; collaborative with Bobby","Strategic district-level Keep/Give prioritization across 1,578 schools (Keeping 942, Giving 636). Morgan’s annotations reveal strategic rationale: Wake County (128 schools) = ‘Over my dead body lmao’ (fierce account ownership); Gwinnett County (101) = keep for prior progress; Cobb County (60) = HIGH VALUE DISTRICT, high difficulty, try again; Houston ISD (59) = ‘Keep one TX district for me, I’d love to follow up myself’; Menlo Park (1 school) = ‘I WILL GET GINA AND TAMARA SOMEDAY’. Some low-value single-school districts flagged as ‘Give to Bobby?’ with rationale.","Strategic territory ownership at massive scale (1,578 schools); district value vs. difficulty assessment; prior progress weighting; competitive account protection (Wake County); pride of ownership and drive evident in notes; collaborative territory decisions with manager (Bobby)",Very High — shows strategic territory management and ownership thinking at scale; Morgan’s annotations are uniquely revealing of her drive and strategic judgment,"Very High — territory management, strategic prioritization, Salesforce/CRM territory decisions, scale of HZ program ownership, leadership voice in notes",High,Notes are Morgan’s own voice and judgment — they’re professionally useful but also humanizing. Use selectively; the Wake County note is quotable in interviews but explain the context (fierce ownership of a key territory).,2026-05-02,,One of the most personally revealing work artifacts found. Pairs with Morgan Hot Zones 20-21 and Master HZ Schools for a complete territory management picture.
DF-0071,CW Customers by District in CA.xlsx,https://docs.google.com/spreadsheets/d/1b5q5u_r8y9gPrvbJORAvO8qmgntBq46k/edit?usp=drivesdk,CRM / Salesforce Report - Closed Won CA Customers,CA Closed Won; 19-20 and 20-21 seasons; Generated by Morgan Escott from Salesforce,"Header explicitly reads 'Generated by Morgan Escott.' Salesforce Closed Won report filtered to CA, Target Year 2019-2021. Columns: District, Opportunity Name, Stage (Closed Won), Close Date, Lead Source, satExperience, satRecommend (1-10), High Value Account. District subtotals. Lead sources: Existing Customer, cold-call, google, word-of-mouth. Customer satisfaction scores (10/10, 8/8) visible.",Salesforce report creation; CRM data analysis; district-level closed-won tracking; customer satisfaction data; HZ social proof mining; High Value Account prioritization logic,High - explicitly confirms Morgan ran Salesforce reports and used closed-won data for HZ strategy,"High - Salesforce reporting, CRM data analysis, district social proof strategy, customer satisfaction tracking",High,Header: 'Generated by Morgan Escott' is direct attribution. Large file; only first portion sampled.,2026-05-02,,"Pairs with ALL HZ Schools-2021 and Morgan Hot Zones 20-21 as three-part CRM evidence: (1) Salesforce report (this), (2) strategic district decisions, (3) multi-stakeholder planning system."
DF-0072,Content Committee - Recent Topics.docx,https://docs.google.com/document/d/1O0dzX_4qHDWLyWTN4B9R9pKda4PD1ber/edit?usp=drivesdk,Meeting Notes - CC Operations / Voice Restoration,CC team; Morgan and Jen leading; voice restoration focus; Bobby invited monthly,"Key finding: 'Overwhelming consensus is that we'd like to get our own voices back into the sequences again.' Recognition system designed: Most Unique Snippet / Best Use of TreeRing Voice awards - not competitive, lighthearted, like IST awards. Outreach collection architecture: by grade (ES/MS/HS), niche (HZ/High FRL/Private), role (PTA/Principal/Teacher/Support), stage (1st Touch/Re-Approach/Nurture/Sales Cycle). 'Restore a little trust with the team in regards to writing content.' Bobby to be invited monthly/quarterly.",CC leadership; team psychology and morale; root cause of ERIKA gap ('get our own voices back'); trust-building through content ownership; gamification/recognition design; Outreach architecture planning,Very High - contains the direct evidence for why CC-led sequence rebuild was necessary,"Very High - CC leadership, cultural intelligence, trust-building, brand voice ownership, recognition design",High,Get our own voices back' is the direct explanation for why ERIKA sequences were replaced. This is the WHY behind the CC rebuild.,2026-05-02,,Pair with DF-0058 (CC Summer 2022 planning) and DF-0068 (kickoff agenda) for complete content leadership narrative.
DF-0073,Responses_All_220608.pdf,https://drive.google.com/file/d/13r7ZsO9Xj8a1mOUC4Wup8MPLAa5ssIwh/view?usp=drivesdk,Survey Data - Content Feedback Survey Raw Responses (May 2022),Sales team respondents; SurveyMonkey export June 8 2022; 181 pages,"Raw SurveyMonkey export from 'Sales Content Feedback > 2022' survey (designed by Morgan, see DF-0048). 181 pages of responses. Questions: brand voice fit, resource adequacy, inbound/outbound usage, favorite emails, subject lines, open/reply/click performance, customizations, Vidyards, emojis, future ideas. Preview: Q1 brand voice = Agree; Q2 resources = Disagree ('Often get asked for a flyer'); Q4 = Outbound. Full response data not sampled.",Survey execution confirmed; team participation at scale (181 pages); VOC data collection in practice; closes loop from instrument design to data collection,Very High - confirms survey Morgan designed was executed and collected substantial real team feedback,"Very High - VOC research execution, survey methodology, real feedback data, content program evidence",High,Full response data not reviewed (too large). Preview confirms structure matches DF-0048 instrument. This is the executed output of that survey.,2026-05-02,,DF-0048 = survey instrument design. DF-0073 = raw response data. Together they prove: Morgan designed AND executed the survey.
DF-0074,"SIA Training, Feb 10.docx",https://docs.google.com/document/d/1lcvxMPDNaWRMhDN-waikK543nv23GKBV/edit?usp=drivesdk,Training Notes - SIA Phone Objection Handling,SIA session 3; Feb 10 2021; phone objections; SDR team,"Phone objection handling: persistence (get past 3 no's), broad vs. specific ask, '27 seconds' technique for time objections, 'Is that fair?' framing, wrong person referral extraction ('Who should I reach out to?' + awkward pause = name), 'send me info' redirect to meeting, FUP sequence over one-off reply. 'Don't try to memorize every possible objection.'",Formal SDR phone objection training (SIA); persistence mindset; specific call techniques; referral methodology; meeting-first redirect strategy,Medium - third SIA session; phone objection handling,"Medium - SIA training, phone objections, persistence, referral technique",Medium,External SIA trainer; Morgan note-taker/participant. Completes the SIA Feb 8 (cold calling) + Feb 15 (email objections) + Feb 10 (phone objections) training set.,2026-05-02,,
DF-0075,"Training_ Research, Contacts, Prospects, & Sequenc.pptx",https://docs.google.com/presentation/d/1T5m9NT2PwvI9Zajhps47EaB7ROXpmKT_/edit?usp=drivesdk,Training / Enablement - SDR Onboarding Training Deck,TreeRing SDR team; December 2021; CONFIRMED Morgan-authored (Process Map site verified live 2026-05-02),"Full SDR onboarding deck. Tools: Outreach + Salesforce + Outreach Everywhere Chrome extension + Window Mode. Account research: Filter by Owner = My Accounts; $2,500 minimum estimated value threshold. Big-Picture Research: district analysis, Hot Zone identification, district bids/approvals spreadsheet, PTA council research. School-Level Research: fresh vs. worked accounts, duplicate detection, data hygiene. Resources: SDR Playbook, Outreach Tag List, Morgan's Process Map at escottmorgan.wixsite.com/processmap (confirmed live; 8-step workflow, tool guides, playbooks, community feedback, support glossary, team directory). Site opens with W. Edwards Deming quote.","SDR training program authorship CONFIRMED; Morgan's Process Map website is official onboarding infrastructure; Salesforce + Outreach expertise; $2,500 value threshold; HZ identification; full team onboarding curriculum design and web publishing",CRITICAL — CONFIRMED Morgan-authored; she built and maintains the SDR process map website used in official training; covers full SDR workflow from Salesforce to sequencing to performance,"Critical — confirmed training deck and website authorship, SDR onboarding curriculum, Salesforce + Outreach system expertise, process ownership, web publishing",High,"CONFIRMED: escottmorgan.wixsite.com/processmap is live (verified 2026-05-02). 8-step SDR workflow site with tool guides, playbooks, community feedback, and support. Morgan built this as training infrastructure, not just a document. This elevates her to SDR training program designer and process architect.",2026-05-02,,"If confirmed Morgan-authored, this elevates her from sequence writer to SDR training program designer. One of the most powerful enablement artifacts found."
DF-0076,McKinney District Emails.docx,https://docs.google.com/document/d/1cE7ZC-PeSR2apasVEeBtLDc2b2QRfG-6/edit?usp=drivesdk,Sequence Copy - District Outreach - Solo Authorship (Morgan Escott signed),McKinney ISD TX; Morgan signed with full name; multiple variants by account status,"Morgan-signed district outreach (full name 'Morgan Escott' in email body). Three variants: (1) Open schools = email principal cold; (2) Working schools = email advisor CC principal; (3) Follow-up 3-5 days later. Strategy: 7 social proof schools named (Caldwell, Glen Oaks, Malvern, McClure, McNeil, Reuben Johnson, Slaughter Elementary); vendor paperwork submitted to McKinney ISD; custom district discount approved; referral escalation when advisor unresponsive.",District penetration strategy; multi-variant email by account status; social proof anchoring (7 named schools); vendor paperwork/bid strategy; custom pricing deployment; direct authorship confirmed by signature,"High - Morgan-signed shows full district strategy cold to follow-up with social proof, vendor approval, and custom pricing","High - district outreach strategy, solo copywriting, social proof anchoring, vendor bid, pricing negotiation",High,"Morgan's full name 'Morgan Escott' in email body is direct authorship proof. This is cold outbound, not warm/inbound.",2026-05-02,,
DF-0077,"Notes for Sequence Review Meeting, Sept 10 2021.docx",https://docs.google.com/document/d/1xuOfyq-9QnwT9HovAZ9VuAFj0wpGgxOo/edit?usp=drivesdk,Meeting Notes - CC + Marketing Sequence Operations,CC + Marketing; Sept 10 2021; Bobby present; Morgan's prior 8/25 notes linked in doc,"Deep sequence ops meeting. Topics: (1) ES Principal Re-Approach auto first step - unanimous preference for manual first steps; (2) Separate sending windows by persona (PTA, Principal, Teacher+Support) - Bobby approved; (3) PTA sequence adjustments: stronger TreeRing ID in email 1, more empathetic email 2 ('congratulate them on doing 55 million things'), more spacing; (4) Vidyard playlist bug; (5) TRL double-email risk; (6) Outreach max send volume concern; (7) Variables: fewer is better; (8) Tickler timing. Morgan's notes from prior 8/25 Bobby/Kristina meeting linked in the doc itself.","Sequence operations leadership; persona timing and tone decisions; Outreach platform expertise (volume limits, sending windows, variable strategy); cross-session continuity (Morgan's prior notes linked)",Very High - Morgan is presenting sequence operation decisions at CC/Marketing/leadership intersection; her own prior meeting notes confirm continuity ownership,"Very High - sequence ops leadership, persona strategy, Outreach expertise, cross-functional management",High,Morgan's prior meeting notes linked in the doc = she is the continuity person between sessions. Strong evidence of formal sequence program ownership.,2026-05-02,,
DF-0078,Outreach Sequence List.docx,https://docs.google.com/document/d/1UluXYy-v7dP2laDfSJzcYcoP5G0uFTLv/edit?usp=drivesdk,Sequence Program Architecture - Master 21-22 Taxonomy,CC + Kristina; full program scope; Morgan tagged and assigned to Teachers sequences,"Master 21-22 sequence taxonomy. Inbound: Less than 100, Student, Not Involved, Site Requests (Demo/Sample/Trial/Walk-Up). Outbound: District + Councils, Elementary 1st Touch + Spring yearlong + Re-Approach, MS/HS/K-8/K-12, General Support Staff, Spoke, Nurture. Sales Cycle: Time-Specific, Sample Sent No Demo, In Contract, Unresponsive, Closed Lost, Non-CE, Demo No-Show, Revive. Special audiences: Never done a book, COVID, Bad Fit (STEM/Private/HZ/High FRL). Morgan tagged twice with questions; assigned to Teachers sequences with Stacey. KTC (Kristina) notes at bottom.",Full 21-22 sequence program taxonomy; Morgan's named role (Teachers sequences with Stacey); architecture input on special audiences; Kristina accountability; program scope confirmation,High - confirms Morgan's named role in 21-22 program; master taxonomy shows full program scope she participated in,"High - sequence program architecture, persona assignments, cross-functional ownership",High,Morgan tagged twice in doc comments and assigned to Teachers with Stacey. KTC = Kristina (program lead). Official sequence program document.,2026-05-02,,
DF-0079,Soapbox Video Test.docx,https://docs.google.com/document/d/1JwISuwq1d9sS9AXEvT40ON2KhrmezSXW/edit?usp=drivesdk,Sequence Copy — Video Email Template (Soapbox/Vidyard),Morgan Escott; Soapbox (now Vidyard) personal video outreach test; warm/re-engagement context,"Morgan-authored video email template: 'It’s Morgan from TreeRing. I made this video, just to say hello.' Uses {{company_name}} variable. Warm, casual tone with personality ('coffee, cats, and which Hogwarts house I’d belong to'). Video thumbnail placeholder. CTA is a soft phone call ask. Tests personal video as an outreach channel.","Personal video outreach experimentation; Soapbox/Vidyard platform testing; warm, personality-driven sales voice; soft CTA design; {{company_name}} variable use",Medium — short but shows Morgan testing and designing video-based outreach; reveals her authentic sales voice,"Medium — video outreach, personalization, sales voice, platform experimentation",High,Misclassified as Personal/Non-Work in prior analysis. Clearly a sales email template. Soapbox = video email tool (now Vidyard).,2026-05-02,,"Good example of Morgan’s warm, personality-driven sales voice. The Hogwarts/coffee line is authentic and on-brand with her communication style."
DF-0080,Copy of Hot Zones Master List.xlsx,https://docs.google.com/spreadsheets/d/1AIwj4A4Bv5Mq2qIM79n14qJac6iS7fTh/edit?usp=drivesdk,CRM / Territory Management — Early HZ Master List (Complete),Full HZ territory master; Morgan and Jen Rock as primary territory owners; early-era (2016-2018 data visible),"Complete Hot Zone territory master list. Total tracked HZ territory value: $29,251,188. Owner-by-district format. Morgan owns: Wake County ($1.3M), Cobb ($789K), Fulton ($689K), Prince William ($653K), San Francisco Unified ($461K), Greenville ($438K), Gwinnett ($390K), Houston ISD ($320K), Seattle ($310K), Metro Nashville ($263K), and ~25 more districts. Columns: District, Owner, State, Estimated Value, PTA Council, Prospects in Council, Data in Salesforce, Contacts Added, Hero Confirmed, Hero Call Held or Scheduled, Hero name, Letter Sent, Mass Email dates, Notes. Includes neighboring districts map and PTA Council Salesforce records. Morgan’s handwritten notes: specific school conversations, hero contacts, closed-won wins, in-progress deals.",Early HZ territory master showing Morgan’s full multi-state territory ownership; $29.25M in tracked territory; district-level PTA council mapping; hero call tracking; Salesforce contact integration; real-time notes from Morgan on in-flight deals,Very High — complete early HZ master confirms Morgan’s territory ownership across ~30 districts and $29.25M in tracked HZ value; her notes show deal-level context,"Very High — territory management, Salesforce integration, PTA council strategy, district-level ABM, multi-state ownership, deal notes",High,This is a copy of the master; original exists elsewhere. File has earlier-era data (2016-2018 notes) making it a companion to the 2021 HZ tracking files. Two additional copies (1) and (2) are version duplicates of this canonical copy.,2026-05-02,,The $29.25M total HZ territory value is significant context for understanding the scale of Morgan’s territory. Pairs with ALL HZ Schools-2021 (DF-0070) and Morgan Hot Zones 20-21 (DF-0065) as three eras of HZ evolution.
DF-0081,Content Committee.pptx,https://docs.google.com/presentation/d/1Bramq3CbOs3PIlvstoPyyfJa0NqS3007/edit?usp=drivesdk,Meeting Deck — CC Formal Pitch to Management,Morgan and Jen; May 10 2021; proposing CC take on new Marketing positions,"Formal pitch deck to management. THANK YOU slide: thanked for listening, being open, giving permission to reorganize. Context: TreeRing created new Marketing positions with potential overlap with CC work. Proposal: CC takes on these responsibilities. Key arguments: 'We'll get much better outbound sequence results if the people writing them are actually in Outbound.' 'Jen and I alone have 10 years of experience doing this.' Morgan on herself: 'I'm good at outbound and management, but I also happen to be a great designer and writer!' Options offered: CC takes hybrid roles, one member applies for marketing role, CC focuses on outbound. Closes with heartfelt note about psychological safety with supervisor.",Strategic business case writing; cross-functional advocacy; organizational positioning; articulating the CC's value proposition to leadership; demonstrates Morgan is the CC lead author and primary advocate,Very High — the formal pitch that secured the CC's expanded role; shows Morgan operating as a strategic organizational leader,"Very High — CC leadership, strategic advocacy, business case writing, cross-functional positioning",High,Morgan is clearly the primary author and advocate based on first-person voice throughout. 'Jen and I' confirms joint CC leadership.,2026-05-02,,Partially covered in Evidence Guide (Content Operations theme) but the full pitch context is now captured here. Pairs with DF-0068 (CC kickoff agenda) and DF-0058 (CC Summer 2022 planning).
DF-0082,Content Team 06.01.22.pptx [actually: Team Training 07.19.2022],https://docs.google.com/presentation/d/1LN-XLqOL0GbT_P3LzBBSlQiVlaYSNOD7/edit?usp=drivesdk,Training Deck — Full Team SDR Training Day,Full SDR team; July 19 2022; Morgan presenting; Kristina (KTC) also presenting; formal training day,"Full-day team SDR training (9am-12pm). Part 1: Sales Strategy (team roles, AT&T Model, account research, prioritization, personalization by persona). Part 2: 'Wiki site :)' explicitly on agenda — the Process Map website as a live training session item. Part 3: 'Morgan's Take on SDR role' explicitly named as a session presented by Morgan covering Awareness/Trust/Timing model and sales process review. Context stat: 'We went from 5 to 25+ SDRs.' Covers demo/handoff process, SDR vs SD roles, consultative selling ('Teaching, not Telling').",Morgan's Take on SDR role' is explicitly named as a training session she delivered. The Process Map ('Wiki site') is a formal agenda item. This confirms Morgan as the SDR training and process authority for the team.,Critical — Morgan named as the presenter of an SDR training session; Process Map confirmed as a live training agenda item; AT&T model is her framework,"Critical — SDR training delivery, process ownership, AT&T model, team growth context (5 to 25+ SDRs)",High,File is misdated in filename (says 06.01.22 but content is 07.19.2022). 'Morgan's Take on SDR role' is the single most explicit attribution of a named training presentation found in the archive.,2026-05-02,,Pairs directly with DF-0075 (SDR Training deck) and escottmorgan.wixsite.com/processmap to confirm Morgan as SDR process and training authority.
DF-0083,"Wake County PTA -- May 2019 -- ES, Did not see TJ.docx",https://docs.google.com/document/d/1ggv3xcp8EkwMLcndSzBn70a3KKl8mmlC/edit?usp=drivesdk,Sequence Copy — Wake County PTA Campaign (Event Follow-Up),WCPTA New Leadership event follow-up; May 2019; ES schools that didn't speak with TJ at event table,"Two-email follow-up sequence for Wake County PTA schools that didn't stop by the TreeRing event table. Email 1: 'We attended the New Leadership event this past week, and it was fantastic. We're so proud to be a sponsor of the WCPTA.' Offers sample books to those who didn't stop by. Warm, event-contextual tone. Reply follow-up: Sends sample book image, mentions sending to many Wake County schools, asks about 19-20, offers chat/tour/trial account.",Event-based PTA follow-up copy; sponsor relationship activation; warm community tone; social proof via existing Wake County schools,High — actual email copy from the verified 73% open / 25% reply Wake County PTA campaign,"High — event-based outreach strategy, PTA activation, warm copy, verified campaign source",High,This is the event follow-up variant for schools that didn't stop by the table. The verified 73%/25% performance is for this campaign cluster. Pairs with TreeRing Wrap-Up Summer 2016.,2026-05-02,,
DF-0084,"Engaged, Misc. Clean-Up.docx",https://docs.google.com/document/d/1_L-FFYBt-iUg0zWilUDgcjFH9IH1HmXC/edit?usp=drivesdk,Sequence Copy — Re-engagement / Cold Engaged Prospects,Cold but previously-engaged prospects; multiple versions including Morgan-signed variants,"Multi-version re-engagement sequence. Email 1 (catching up): 'You might remember me -- my name is Morgan.' Check-in, offer call or demo. Reply: Software modern/user-friendly, offers quick tour or free trial. Email 3 (spring stress): Helpful blog articles instead of pitch during busy spring season. Email 4 (proud of): Comprehensive value prop (software, integrations, forever storefront, pricing). Morgan-signed Calendly link. Old versions show iterative revision process. Spring stress angle is particularly empathetic and non-pushy.",Re-engagement sequence writing; spring-timing empathy angle; value prop summary; iterative revision process; Morgan-signed with Calendly link confirming authorship,High — multi-version sequence showing Morgan's re-engagement methodology and authentic sales voice,"High — re-engagement copywriting, empathetic spring timing, personalization philosophy, Calendly link authorship",High,Overlaps content with Notes.docx (DF-0095) which has similar versions. These may be related drafts from the same iterative pass.,2026-05-02,,
DF-0085,Content Team 05.11.22.pptx,https://docs.google.com/presentation/d/1lWfSbJW8ptQN9__fLRYB01nrM-AEEQ72/edit?usp=drivesdk,Meeting Deck — CC Meeting Agenda (May 11 2022),Content Creation Team; May 11 2022; Morgan facilitating,"CC weekly meeting. Agenda: pricing snippets and summer sign-off now public and ready; subteam check-ins; content survey review; gQueues platform screenshare; 22-23 sequences: 'FYI, we will very likely be handling this! We'll start planning soon!' Notes: share with Bobby/Melanie/Rachael, share past survey link. Ends: 'LOVE YOU ALL.'",CC meeting facilitation; summer content pipeline; sequence planning announcement; team communication style,Medium — CC meeting agenda showing Morgan as organizer and 22-23 sequence lead,"Medium — CC operations, sequence planning leadership, team communication",High,Morgan is clearly the CC meeting organizer and agenda author based on first-person framing.,2026-05-02,,
DF-0086,Content Team 05.18.22.pptx,https://docs.google.com/presentation/d/1Z1R3BWR2f-u3X7wNCcqk5HrG-glSS-oX/edit?usp=drivesdk,Meeting Deck — CC Meeting Agenda (May 18 2022),Content Creation Team; May 18 2022; Morgan facilitating,"CC weekly meeting. Key agenda item: 'Content Survey: Review Morgan's draft, make any final changes.' Confirms Morgan authored the Content Feedback Survey instrument. Also: White Flag email revival, Intro Templates for inbound reps, task platform decision, Bobby joining next week's second half. '22-23 Sequences: We will very likely be handling this!'",Content Survey: Review Morgan's draft' confirms Morgan as the survey instrument author. Critical corroboration for DF-0048 and DF-0073.,High — confirms Morgan authored the Content Feedback Survey; shows CC meeting cadence and communication,"High — survey authorship confirmation, CC facilitation, sequence planning",High,Direct confirmation that 'Morgan's draft' is the Content Feedback Survey May 2022. Closes the authorship loop on DF-0048.,2026-05-02,,
DF-0087,Content Team 05.25.22.pptx,https://docs.google.com/presentation/d/1Uz6EJP9Z1L2SLCNnkA6246yRlYvmjkUY/edit?usp=drivesdk,Meeting Deck — CC Meeting Agenda (May 25 2022),Content Creation Team; May 25 2022; Morgan facilitating,"CC weekly meeting. Key update: 'Content Survey: Finished, posted, emailed – 7 responses so far!' Confirms survey went live in the week between May 18 and May 25. Data project: 'In progress! Big open-scope project, very exciting. Talking to Melanie tomorrow!' End of School Year Awards idea raised.",Survey launch confirmed with first response count (7 responses); data project in progress; Morgan driving multiple CC workstreams simultaneously,Medium — confirms survey launch and first responses; shows CC operational velocity,"Medium — survey launch confirmation, CC operations, data project",High,Survey went live between May 18 and May 25 2022. 7 responses within first week confirms team engagement. Full responses later captured in DF-0073 (181 pages).,2026-05-02,,
