Source File,Finding Type,Best Details,Confidence,Use Caveat
McKinney District Emails.docx,Sequence Copy - District Outreach - Solo Authorship (Morgan Escott signed),"Morgan-signed district outreach (full name 'Morgan Escott' in email body). Three variants: (1) Open schools = email principal cold; (2) Working schools = email advisor CC principal; (3) Follow-up 3-5 days later. Strategy: 7 social proof schools named (Caldwell, Glen Oaks, Malvern, McClure, McNeil, Reuben Johnson, Slaughter Elementary); vendor paperwork submitted to McKinney ISD; custom district discount approved; referral escalation when advisor unresponsive.",High,"Morgan's full name 'Morgan Escott' in email body is direct authorship proof. This is cold outbound, not warm/inbound."
"Notes for Sequence Review Meeting, Sept 10 2021.docx",Meeting Notes - CC + Marketing Sequence Operations,"Deep sequence ops meeting. Topics: (1) ES Principal Re-Approach auto first step - unanimous preference for manual first steps; (2) Separate sending windows by persona (PTA, Principal, Teacher+Support) - Bobby approved; (3) PTA sequence adjustments: stronger TreeRing ID in email 1, more empathetic email 2 ('congratulate them on doing 55 million things'), more spacing; (4) Vidyard playlist bug; (5) TRL double-email risk; (6) Outreach max send volume concern; (7) Variables: fewer is better; (8) Tickler timing. Morgan's notes from prior 8/25 Bobby/Kristina meeting linked in the doc itself.",High,Morgan's prior meeting notes linked in the doc = she is the continuity person between sessions. Strong evidence of formal sequence program ownership.
Outreach Sequence List.docx,Sequence Program Architecture - Master 21-22 Taxonomy,"Master 21-22 sequence taxonomy. Inbound: Less than 100, Student, Not Involved, Site Requests (Demo/Sample/Trial/Walk-Up). Outbound: District + Councils, Elementary 1st Touch + Spring yearlong + Re-Approach, MS/HS/K-8/K-12, General Support Staff, Spoke, Nurture. Sales Cycle: Time-Specific, Sample Sent No Demo, In Contract, Unresponsive, Closed Lost, Non-CE, Demo No-Show, Revive. Special audiences: Never done a book, COVID, Bad Fit (STEM/Private/HZ/High FRL). Morgan tagged twice with questions; assigned to Teachers sequences with Stacey. KTC (Kristina) notes at bottom.",High,Morgan tagged twice in doc comments and assigned to Teachers with Stacey. KTC = Kristina (program lead). Official sequence program document.
Soapbox Video Test.docx,Sequence Copy — Video Email Template (Soapbox/Vidyard),"Morgan-authored video email template: 'It’s Morgan from TreeRing. I made this video, just to say hello.' Uses {{company_name}} variable. Warm, casual tone with personality ('coffee, cats, and which Hogwarts house I’d belong to'). Video thumbnail placeholder. CTA is a soft phone call ask. Tests personal video as an outreach channel.",High,Misclassified as Personal/Non-Work in prior analysis. Clearly a sales email template. Soapbox = video email tool (now Vidyard).
Copy of Hot Zones Master List.xlsx,CRM / Territory Management — Early HZ Master List (Complete),"Complete Hot Zone territory master list. Total tracked HZ territory value: $29,251,188. Owner-by-district format. Morgan owns: Wake County ($1.3M), Cobb ($789K), Fulton ($689K), Prince William ($653K), San Francisco Unified ($461K), Greenville ($438K), Gwinnett ($390K), Houston ISD ($320K), Seattle ($310K), Metro Nashville ($263K), and ~25 more districts. Columns: District, Owner, State, Estimated Value, PTA Council, Prospects in Council, Data in Salesforce, Contacts Added, Hero Confirmed, Hero Call Held or Scheduled, Hero name, Letter Sent, Mass Email dates, Notes. Includes neighboring districts map and PTA Council Salesforce records. Morgan’s handwritten notes: specific school conversations, hero contacts, closed-won wins, in-progress deals.",High,This is a copy of the master; original exists elsewhere. File has earlier-era data (2016-2018 notes) making it a companion to the 2021 HZ tracking files. Two additional copies (1) and (2) are version duplicates of this canonical copy.
Content Committee.pptx,Meeting Deck — CC Formal Pitch to Management,"Formal pitch deck to management. THANK YOU slide: thanked for listening, being open, giving permission to reorganize. Context: TreeRing created new Marketing positions with potential overlap with CC work. Proposal: CC takes on these responsibilities. Key arguments: 'We'll get much better outbound sequence results if the people writing them are actually in Outbound.' 'Jen and I alone have 10 years of experience doing this.' Morgan on herself: 'I'm good at outbound and management, but I also happen to be a great designer and writer!' Options offered: CC takes hybrid roles, one member applies for marketing role, CC focuses on outbound. Closes with heartfelt note about psychological safety with supervisor.",High,Morgan is clearly the primary author and advocate based on first-person voice throughout. 'Jen and I' confirms joint CC leadership.
Content Team 06.01.22.pptx [actually: Team Training 07.19.2022],Training Deck — Full Team SDR Training Day,"Full-day team SDR training (9am-12pm). Part 1: Sales Strategy (team roles, AT&T Model, account research, prioritization, personalization by persona). Part 2: 'Wiki site :)' explicitly on agenda — the Process Map website as a live training session item. Part 3: 'Morgan's Take on SDR role' explicitly named as a session presented by Morgan covering Awareness/Trust/Timing model and sales process review. Context stat: 'We went from 5 to 25+ SDRs.' Covers demo/handoff process, SDR vs SD roles, consultative selling ('Teaching, not Telling').",High,File is misdated in filename (says 06.01.22 but content is 07.19.2022). 'Morgan's Take on SDR role' is the single most explicit attribution of a named training presentation found in the archive.
"Wake County PTA -- May 2019 -- ES, Did not see TJ.docx",Sequence Copy — Wake County PTA Campaign (Event Follow-Up),"Two-email follow-up sequence for Wake County PTA schools that didn't stop by the TreeRing event table. Email 1: 'We attended the New Leadership event this past week, and it was fantastic. We're so proud to be a sponsor of the WCPTA.' Offers sample books to those who didn't stop by. Warm, event-contextual tone. Reply follow-up: Sends sample book image, mentions sending to many Wake County schools, asks about 19-20, offers chat/tour/trial account.",High,This is the event follow-up variant for schools that didn't stop by the table. The verified 73%/25% performance is for this campaign cluster. Pairs with TreeRing Wrap-Up Summer 2016.
"Engaged, Misc. Clean-Up.docx",Sequence Copy — Re-engagement / Cold Engaged Prospects,"Multi-version re-engagement sequence. Email 1 (catching up): 'You might remember me -- my name is Morgan.' Check-in, offer call or demo. Reply: Software modern/user-friendly, offers quick tour or free trial. Email 3 (spring stress): Helpful blog articles instead of pitch during busy spring season. Email 4 (proud of): Comprehensive value prop (software, integrations, forever storefront, pricing). Morgan-signed Calendly link. Old versions show iterative revision process. Spring stress angle is particularly empathetic and non-pushy.",High,Overlaps content with Notes.docx (DF-0095) which has similar versions. These may be related drafts from the same iterative pass.
Content Team 05.11.22.pptx,Meeting Deck — CC Meeting Agenda (May 11 2022),"CC weekly meeting. Agenda: pricing snippets and summer sign-off now public and ready; subteam check-ins; content survey review; gQueues platform screenshare; 22-23 sequences: 'FYI, we will very likely be handling this! We'll start planning soon!' Notes: share with Bobby/Melanie/Rachael, share past survey link. Ends: 'LOVE YOU ALL.'",High,Morgan is clearly the CC meeting organizer and agenda author based on first-person framing.
Content Team 05.18.22.pptx,Meeting Deck — CC Meeting Agenda (May 18 2022),"CC weekly meeting. Key agenda item: 'Content Survey: Review Morgan's draft, make any final changes.' Confirms Morgan authored the Content Feedback Survey instrument. Also: White Flag email revival, Intro Templates for inbound reps, task platform decision, Bobby joining next week's second half. '22-23 Sequences: We will very likely be handling this!'",High,Direct confirmation that 'Morgan's draft' is the Content Feedback Survey May 2022. Closes the authorship loop on DF-0048.
Content Team 05.25.22.pptx,Meeting Deck — CC Meeting Agenda (May 25 2022),"CC weekly meeting. Key update: 'Content Survey: Finished, posted, emailed – 7 responses so far!' Confirms survey went live in the week between May 18 and May 25. Data project: 'In progress! Big open-scope project, very exciting. Talking to Melanie tomorrow!' End of School Year Awards idea raised.",High,Survey went live between May 18 and May 25 2022. 7 responses within first week confirms team engagement. Full responses later captured in DF-0073 (181 pages).
Title 1 Principal - Email 1.docx [A/B variants],Sequence Copy — Title 1 Principal A/B Test Emails,"Two A/B test variants of a Title 1 Principal first-touch cold email. Version A: 4-bullet value prop format (no contracts, no costs, no minimum orders, digital printing), closes with referral ask. Version B: Shorter, more direct, same value props without the bullet structure. Both use Outreach variables: {{last_name}}, {{sender.first_name}}, {{account.name}}. Focus on affordability, Title 1 sensitivity, and mission alignment.",High,Two variants suggest Morgan was testing email format for the Title 1 principal persona. Pairs with Title 1 - Principals.docx (DF-0089) as a related file.
Title 1 - Principals.docx,Sequence Copy — Title 1 CA Principal Email (Morgan-signed),"Morgan-signed Title 1 CA principal email: 'My name is Morgan.' Personalized to California ('headquartered right in California, San Mateo to be exact'). 4-bullet list: offer yearbooks for the first time, restart programs that died, eliminate shortage/leftover risk, bring pricing down (sometimes cutting costs in half). Follow-up email with video, custom pages, FAQ, testimonials links.",High,Morgan's full name signed ('My name is Morgan') confirms authorship. CA-specific framing ('San Mateo to be exact') shows geographic personalization.
Tevis_ 22-23 Performance.docx,"People Leadership — MPP Review (Direct Report: Tevis, 22-23)","MPP performance review for Tevis. Active Prospects: 2,003 (goal 1,875-3,750). Emails: 425.07/week (goal 188-375) — 'OMG this is awesome.' Open Rate: 76% (SDR avg 58%). Reply Rate: 4.2% (SDR avg 3.5%) — 'BOOM. This is where your customized emails are really paying off!' Vidyards Created: 87 (SDR avg 15). Vidyard views avg watched 85% (SDR avg 51%). Thnks Sent: 24, Opened 95.8%, Redeemed 58.3%. Monthly Opps: 4.2 avg (42 total). Conversion Rate: 75.54% — 'The highest in our pod. Mic drop.' Morgan's coaching throughout is warm, specific, and data-grounded.",High,Tevis is likely the same 'Tevis' referenced as a demo customer in ERIKA sequences. The 75.54% conversion rate is a notable SDR metric.
"Manager Notes, Week of Jan 12.docx",People Leadership — Team Management Communication,"One-on-one prep: Culture Amp goals, new sequence performance view, spring ramp-up actions (drop into 2nd semester sequences, record personal Vidyard, prep Bad Fits, prep In Contract with personal Vidyard before MLK Day). Team-wide update (Slack/channel): Canceled weekly dev meeting to focus on sequencing. 2nd semester live metrics: 3,337 prospects added, 63% avg open rate across 6 sequences (each at 50%+), 4.3% click, 8.7% reply, 2 booked meetings already! References In Contract sequence #305. Reminds team: Culture Amp goals, Trailhead, Bad Fit and In Contract sequences, Vidyard personalization, customization best practices. Ends: 'Give me a fun emoji to let me know you got to the end!'",High,63% open rate and 8.7% reply rate are live 2nd semester metrics from her pod. Sequence #305 is the In Contract sequence (34% reply rate verified).
TreeRingSlides_GwinnettArea1_PowerPoint.pptx,Event Deck — Gwinnett Area 1 PTA Council Pitch,"9-slide PTA council pitch deck. Introduction to TreeRing for Gwinnett Area 1. 28 Georgia districts where TreeRing works listed as social proof. COVID resilience stats: 'Custom pages rose 300% during 19-20, digital signatures 4,000%.' Fundraising: '$5 million raised.' Environmental: recycled cover, no overruns, tree planting partner. Software overview. Closing: 'Creating a yearbook is still completely possible in the new normal.' Prepared for the Gwinnett council event referenced in the HZ master tracking documents.",High,August 2019 date is pre-COVID; the COVID slides may have been added later. $5M fundraising is an earlier figure than the $9M seen in later materials — shows program growth over time.
Tevis.docx,"People Leadership — MPP Review (Tevis, Multi-Year)","Tevis is a powerhouse, and last year was a fabulous example.' Multi-year opp progression: 2020-21 = $5,832 (2 deals); 2021-22 = $117,518 (22 deals), $79,791 revenue; 2022-23 = $152,942 (21 deals), $92,031 revenue. Total: $269,228 opps created, $175,318 revenue, 45 opps, 71.11% closed won rate, 15.5% closed lost. 2021-22: 17,401 deliveries, 51% opens. Morgan's narrative: 'Consistently on top of customizing messages, Vidyards whenever appropriate, THNKS regularly, organized during peak, asks fantastic questions, jumps in to help others, I'm afraid she never sleeps lmao.'",High,Tevis's trajectory: 2 deals in 2020-21 to 22 deals in 2021-22 = Morgan coaching a rep from early-career to high-performer. 71.11% closed won rate is exceptional SDR-to-AE handoff quality.
Task Clean-Up.docx,Meeting Notes — Discovery Call + Pod Sequence Feedback (Multiple Sources),"Three-part document: (1) Burbank Elementary discovery call (Ana, solo coordinator, Lifetouch background, portrait priority, photo collection struggles, Google Drive integration, flexibility, no minimums demo booked for Thursday, samples sent). (2) 'Morgan's Pod Feedback on Sequences' — explicitly attributed: pricing video timing, less call steps, secretary calls OK, no Cheers, 2-min video early, auto notice, PTA name handling, teacher salutations. (3) 'Tuesday Huddle Feedback': TRL emails work (social proof + not provider-specific), 'You are the only ones who got back to me,' three-week turnaround desirable, pandemic = 'Megaphone this.'",High,Morgan's Pod Feedback on Sequences' is the key explicit attribution. This is a leadership artifact disguised as a task note.
Notes.docx,Sequence Copy — Re-engagement Variants + Personalization Philosophy,Multi-version re-engagement sequence with Morgan's explicit personalization philosophy: 'Totally personalized email. Kept it short. I literally left the template blank and wrote a new one every time. Every situation was so different.' Follow-up with links after President's Day. Spring stress + helpful blog articles. 'A few things we're proud of' value prop email. Software demo offer with personal Calendly link (calendly.com/morgan-treering) confirming authorship.,High,calendly.com/morgan-treering is direct authorship proof. 'I literally left the template blank and wrote a new one every time' is the strongest single statement of her personalization approach found so far.
Unresponsive Sample Leads.docx,Sequence Copy — Sample Lead Re-engagement,"4-variant re-engagement sequence for cold sample leads. Email 1: 'I came across your name as I was sorting through TreeRing's outstanding sample requests.' Offers sample or demo. Reply bump. 'Help updating our notes' housecleaning frame. Alternate: 'How to proceed?' (Morgan-signed, update for 2019). Graceful goodbye option: 'I'm going to take your name off my follow-up list for now.' Another alternate: Morgan-signed touchbase for late-summer/back-to-school. Shows dignity-preserving approach to cold re-engagement and clean CRM housekeeping mindset.",High,"Morgan signed multiple variants directly. The 'help updating our notes' frame is clever and non-pushy. Shows CRM hygiene is part of her sequence strategy, not just outreach."
Content Committee 21-22 Goals & Action Items (As o.docx,Meeting Notes — CC 21-22 Project Plan (Full),"Comprehensive CC project plan. Morgan-assigned writing tasks: COVID template for schools that didn't do a book, inside intro snippets with {{!}} variable version, pandemic sign-offs. Awards system for August: prospects added, total in sequence, response time. Vidyard ideas: video gallery, tip videos, FAQ videos. CC this year: manage collection, build Snippet Library, collect feedback (inbound and outbound surveys), assign chair positions (images/graphics, survey results, final proofreading). Sequence Collaboration section explicitly states: 'Work on content-related sections of Process Map for Outbound. How to reply when X says Y, etc. Slow project over time.' Down the Road: Grammarly for Teams, snail mailers/postcards, nurture sequences.",High,Process Map reference ('Work on content-related sections of Process Map for Outbound') directly connects the CC project plan to the escottmorgan.wixsite.com/processmap website as a planned deliverable.
TreeRingSlides.pptx [generic version],Event Deck — Generic Pitch Deck (Morgan Escott contact),"Same COVID resilience pitch structure (custom pages 300% growth, digital signatures 4,000%, $5M fundraising). Contact at bottom: 'Morgan Escott, Yearbook Specialist · morgan@treering.com' — not Bobby Hernandez. This is the version Morgan personally sent or presented for non-Gwinnett territories, confirming her as the presenter and author of the pitch deck system.",High,"Contact listing 'Morgan Escott, Yearbook Specialist, morgan@treering.com' is unambiguous authorship attribution."
Title 1 Advisor - Draft Complete.docx,Sequence Copy — Full Title 1 Advisor 10-Step Sequence (A/B),"Complete 10-step A/B sequence with step outline. Steps: (1) Intro A/B (affordability, revitalize programs); (2) Bump with video/FAQ/testimonials links; (3) Phone call; (4) Best time + fundraising ('$700K last year, $4M over time'); (5) 'How Much Your YB Really Costs' PDF + hidden costs link; (6) Custom pages A/B + trees planted; (7) Non-Contract PDF + philosophy; (8) 'A few things we're proud of' comprehensive value prop (soft+hardcover option, school payment flexibility, 3-week turnaround); (9) Sample book / YB in 20-21?; (10) Generic task (send to marketing or new sequence).",High,"A/B variants at Steps 1, 6, 8 show iterative testing approach. Title 1 Advisor.docx (earlier draft) is near-identical."
Social Media Presentation.pptx,Pitch Deck — Early Career: SDR Social Media Expansion Proposal,"Formal pitch for SDR team to take over TreeRing's social media. Data-backed opening: 78% teachers on social media, 51% believe it's effective for vendor communication, 68% value it for learning about products. Platform analysis: Pinterest (93% plan/purchase), Facebook, LinkedIn, Instagram. Proposed responsibilities: content brainstorming, scheduling, comments, engagement measurement. Anticipates and rebuts management objections with counter-arguments. Social selling framework. Closing: 'Let's be honest: cold-calling is extremely tedious... A creative outlet would increase employee satisfaction and allow us to grow our skills.' 'Arguably, TreeRing has the friendliest personality of any yearbook company. Let’s use that to our advantage.'",High,"Supervisor named 'Leo' places this earlier in Morgan's career (pre-Bobby/Kristina era). The CC pitch (DF-0081, May 2021) follows the same structure: data + proposal + objection rebuttals + closing argument. This confirms the pattern is consistent and career-long."
"CALL PRACTICE -- PTA, Super Nice but in Contract (.docx",Discovery Call Notes + Training Format — Jennifer / Elementary PTA,"Pre-call research prep questions + actual call notes clearly labeled. Key findings: ReplayIt app was terrible (out of service for months, not user-friendly); she uploaded all photos herself; school is a 'green ribbon' school and loves tree planting; 720-750 books, 148 pages, $30-40 pricing with ads offsetting cost; March 5th final deadline (likes deadlines). Morgan navigated the artwork scanning question (danced around it, offered solutions). Showed custom pages for 750 students individualization. Ended: locked in for this year, will talk to PTA president about next year for sure. Offered Atlanta-area customer references. Full call arc: rapport building > Jostens pain (ReplayIt) > value props > pricing > custom pages > commitment.",High,"This is the Jennifer call documented in the Evidence Guide (Jostens, 720-750 books, green mission, photo workflow pain). The pre-call prep format suggests it was also used as a training example. Pairs with DF-0021."
Wake Summer 2019 Event Emails.docx [pre-event version],Sequence Copy — Wake County PTA Pre-Event Invitations (Morgan-signed),"Pre-event invitation sequence (not post-event, which is DF-0083). Three variants: (1) New contact: 'My name is Morgan... we're attending Wake County PTA's New Officer Training tomorrow' (May 30, 6-8:30pm, Cary Crossroads II). Same-day event bump. (2) Previously contacted: shorter reminder. (3) 'PTA doesn’t handle but emailing anyway': still invites to event, asks for community feedback. TreeRing is named as silver sponsor of WCPTA.",High,Together with DF-0083 (post-event follow-up) this documents the complete Wake County PTA campaign that achieved 73% open / 25% reply. Morgan's full name confirmed authorship.
Responses to Common Replies! - By Morgan  & Jen _3.docx,Objection Handling Guide — Co-authored by Morgan and Jen,"10+ reply scenarios with Morgan's preferred responses labeled 'Morgan’s Typical Reply': (1) Not interested — 3 variants from brief to blog redirect; (2) Maybe another time — supplemental books pivot; (3) In contract — variants by timeframe (this year only vs. vague); (4) Too busy — spring scheduling with specific timeframe; (5) Need X first — flexible-path accommodation (sample/phone/demo/trial); (6) Principal copied advisor — handoff template; (7) No in-person reps — 3-part distributed model explanation; (8) No yearbook due to cost — full affordability pivot; (9) Yelp/reviews concerns — confidence-building rebuttal (redesigned 2018-19, 95% retention); (10) Current customer emailed by mistake — graceful correction; (11) Receptionist variants. Key Morgan quote: 'I like to suggest a specific timeframe like Spring because it’s easier for them to say yes or no. It starts the conversation.'",High,Compiled with love by Morgan and Jen' is explicit co-authorship. 'Morgan’s Typical Reply' labels throughout confirm her voice. This is a training/enablement resource they built for the team.
Week of July 19 One-on-Ones.docx,People Leadership — Pod Coaching / Process Map Live Use,"Morgan answers individual reps' sequencing questions labeled A-D. Key coaching moments: (A) sequencing timing and new school prep; (B) sequencing order recommendation (elementary first, then MS/HS, then sales cycle); (C) references Process Map live: 'The process map might help -- I got the latest section uploaded -- and we can go over this via screenshare during our one-on-one. https://escottmorgan.wixsite.com/processmap/selectsequences'; (D) spring vs. yearlong tag strategy with nuanced answer on when to switch.",High,URL escottmorgan.wixsite.com/processmap/selectsequences is a specific sub-page of the Process Map site referenced in real coaching — strongest single piece of evidence the site was actively used.
Thought Leader Brainstorm.docx,Brainstorm — SDR Thought Leadership Initiative,"Morgan's initiative to build thought leadership for the SDR team. Created 4 Flipboard boards under her personal account (@morganescott): for Parents, Teachers, Administrators, and Internal/Sales Education. Lists content sources by persona (EdWeek, Edutopia, District Administration, ConnectedPrincipals, Sales Gravy, HubSpot, r/Teachers, PTO Today). Recommended reading list: Never Split the Difference (Chris Voss), SNAP Selling (Jill Konrath), plus How to Win Friends, Influence: Psychology of Persuasion, Fanatical Prospecting, 7 Habits, SPIN Selling. Proposes a TreeRing Book Club (different book every other month). Sales YouTube channels and podcasts listed.",High,"Flipboard boards are under @morganescott (her personal account) confirming this was self-initiated. The reading list selection (Voss, Konrath) shows sophisticated sales methodology awareness."
Lightning Brainstorm Version1.docx,Brainstorm — Salesforce Lightning CRM UX Analysis,"Collaborative CRM improvement analysis. Morgan's contributions identified throughout. Key requests: (1) Account page — move Contacts higher, restore New/Merge/Delete buttons, make Notes prominent at top, put account history below so it doesn't scroll forever; (2) Contact page — restore Clone/Delete buttons, more prominent Outreach engagement, sidebar of related contacts; (3) 'I mostly live on the account page (Morgan)'; (4) ListBrowse-style navigation for 400+ CA accounts ('I need to click into each one individually'); (5) CongaGrid for inline editing and color-coded reports; (6) Parent Accounts for HZ organization; (7) Future wishlist: brand Salesforce to TreeRing; (8) Sub-tabs for managing multiple accounts. Both a raw collaborative version and a refined version exist.",High,Two versions exist: raw collaborative (Sales Dev Lightning Transition Brainstorm) and cleaned-up individual version (Lightning Brainstorm V1). This is the refined version. Morgan's voice is primary throughout.
Meetings 9_23_21.docx,Meeting Notes — CC + Pod Management (Sept 23 2021),"CC Agenda: TRL Sequences, time-based emails, new members timing, SurveyMonkey. One-on-one agenda: pod dash overview, Outreach dash review, calls/emails/prospects added. Key moment: 'Bobby is going to talk about performance plans today. This is a new system for us, and I don't want that to happen to anyone so please realize that activity metrics are important.' Sequence technical notes: pricing language (Transparent < Competitive), duplicate notifications, auto steps not to attach to call steps. 'Transparent < Competitive in pricing language' suggests Morgan identified a specific copywriting issue.",High,"The performance plan warning shows Morgan advocating for her team's awareness and preparedness, not just compliance."
Notes Dec 16.docx,Meeting Notes — ERIKA Sequence Handoff Confirmation + Sequence Cleanup,"Sequence cleanup notes: Engaged follow-up process (without tasks = last activity; with tasks = are they up to date?), In Contract March 2022 Salesforce report, Bad Fit sequence drop. Direct reports Julie and Jamie mentioned. Blog links shared with team. Salutation variable guidance. CRITICAL note at end: 'THANK YOU -- This was the assignment as we understood it, Erika had, Here’s how we attacked them.' This is Morgan's summary note to Bobby/Kristina explaining the CC's handling of the ERIKA sequence handoff — directly confirming the before/after transition.",High,"This single quote ('Erika had, Here’s how we attacked them') is the clearest confirmation of the ERIKA baseline → CC rebuild narrative in the archive. Should be cited in any portfolio/resume context."
Notes File 10_11 2021.docx,Meeting Notes — Pod Coaching (Oct 11 2021),"One-on-one notes covering: customer onboarding coaching (class doing first yearbook, Gena/Sarah/Marilyn; software settings, checklist, portrait workflow, quarantine class photo issues with Lifetouch). Outreach KPI intro: meetings booked, conversions, call disposition, tasks, views and filters, sentiments (which sequences get best responses). November goals: 2 opps each; call push for two weeks with explicit reward at end ('REWARD AT THE END! DETAILS TBD. 5 calls per day, for the week. If you miss any of the days you're out.').",High,"The call incentive structure (5 calls/day for the week, miss any day = out) shows Morgan designing accountability with clear rules and rewards — gamification applied to performance management."
One on One Topics 6_8.docx,People Leadership — First Pod One-on-Ones (June 8),"Welcome to the Pod -- this is new for both of us!' Morgan opens by sharing her origin with Bobby ('I was the ONLY blue out of the group, aside from Bobby himself... I think he and I have very similar mindsets'). Psychological safety statement: 'I want you to know that I'm always here for you. Sometimes really uncomfortable things come up that you might be scared to talk about... know that this is a safe space.' Individual notes: Stacey (numbers good, lots of catchup), Tevis (bids frustrating, needs better TX schools, Garland is local to her), Jamie (getting more accounts, appreciates all the tips), Julie (sequence trigger issue resolved). Leadership philosophy: 'I want to fit how you work, not make you fit into my workflow.' Hard boundary: 'Nooo low-value schools. Please. Just don't. $2500 hard limit.' Morgan's personal context shared: divorce, kids 13 and 11, COVID puppy.",High,"I want to fit how you work, not make you fit into my workflow' is a quotable leadership philosophy statement. Sharing personal context (divorce, kids) shows vulnerability-based leadership."
One on Ones - Week of August 2.docx,People Leadership — Pod One-on-One Coaching (Aug 2 week),"Key items: 500 prospects target by month end; bulk edit caution ('coding errors in new sequences are not a big deal if no one is in it yet, but if we have to do that after people are there the bulk customizations will be lost'); CC two-prospect trick (CC-ing multiple contacts so all get sequence); Outreach dashboard review (active prospects, old sequences, task cleanup). Opp goals: team=100, pod=25, individual=4-6. Meeting attendance mandate. Grammarly mandate: 'I went to Journalism school and I used to be a writer and I use it, so I promise it’s not about anyone’s skill.' OOO procedures. 'This is the time to build better habits — inbox labels, Salesforce tasks, making sure you’re updating statuses.'",High,I went to Journalism school and I used to be a writer' is a notable background disclosure — explains her writing quality and sets expectations for the team without condescension.
Sales Dev Brainstorm!.docx,"Brainstorm — SDR Team Improvement (Early Career, Under Leo)","Morgan's most comprehensive early-career SDR improvement document. Six major sections: (1) Direct Mail: postcards to principals, hero kits for $7,500+ schools, post-demo thank-you cards, holiday cards for engaged prospects, state flyers; (2) Social Media by persona (Facebook/Twitter for parents, LinkedIn for principals, Instagram for content generation); (3) Marketo campaign fixes ('Bye for now' awkward, in-contract campaigns going out in rep names uncontrolled); (4) Meeting reform proposal (Leo's meetings 'mostly him talking while we listened... also awkward at times' — proposed brainstorm sessions and rep-led topics, including Morgan offering to lead an email optimization session); (5) Opportunity creation equity (SDR vs. inbound credit fairness, lost credit for school connections); (6) Marketing assets wish list (video series, master email collection, current case studies, statistics sheet). Full June-October SDR seasonal timeline proposed.",High,Written under supervisor 'Leo' (Head of Marketing) — early career predecessor to the Bobby/Kristina era. Shows Morgan has been doing systems-level improvement advocacy from day one. Pairs with Social Media Presentation (DF-0100) as early-career leadership arc.
Spring Sequence Feedback - Tickler and Pods.docx,VOC + Style Guide — Spring Sequence Feedback (Tickler + Pod Format),"Comprehensive voice-of-customer feedback compilation that directly drove the CC Summer 2022 sequence rebuild. Key rep feedback captured: 'no strict contracts sounds like we may have contracts'; 'no automated emails — caused general stress and confusion.' Persona voice guidance documented: Principals → formal tone, shorter emails preferred; PTA → casual tone, emojis OK. Style guide elements captured. Marketing asset requests documented. Tickler format structure. This document represents the primary feedback intake that informed Morgan and the CC's Summer 2022 overhaul of the sequence library.",,
"Sequence: Signed Up, Didn't Complete a Book (21-22).docx","Sequence Copy + A/B Test Design — Signed Up, Didn't Complete (21-22)","A/B test design for a compassionate re-engagement sequence targeting schools that signed up for TreeRing but didn't complete their book. Jen's Version A incorporated a Frozen II pop culture reference — Morgan noted she loves this version. Sequence designed around empathetic re-engagement: acknowledging the missed completion without blame, meeting schools where they are emotionally. Shows A/B testing framework applied to a sensitive outreach scenario with a warm, creative approach.",,
"White Flag, Intro Templates.docx",Sequence Copy — White Flag Last-Touch + SDR-to-AE Handoff Templates,White Flag last-touch sequence copy (final outreach attempt before abandoning a prospect) plus SDR-to-AE warm handoff introduction template. CC-dated 5.18.22 confirms this is from Morgan's active CC writing period. White Flag sequences demonstrate strategic thinking about the full prospect lifecycle — knowing when and how to make a final ask before releasing a prospect. Handoff template shows cross-functional awareness of the sales process beyond the SDR role.,,
HZ Follow Ups by District.xlsx,Territory Data — HZ Follow-Up Pipeline by District (Morgan Escott as Owner),"Large district-level HZ follow-up tracking spreadsheet. Sampled data confirms Morgan Escott is listed as owner of all major districts. Revenue figures by district align with verified claims: Wake $1.3M, Cobb $789K, Fulton $689K, and additional districts. Likely a Salesforce export used for territory-level HZ pipeline management. Similar to or a version of the HZ Follow Ups by District entry already captured in Verified Claims. File is very large; sampled rows only.",,
TRL Event - Sequence Notes.docx,Meeting Notes — TRL Celebrity Event Sequence Planning (Morgan Editorial Role),"Planning notes for TRL (TreeRing Live) celebrity event outreach sequence. Sequence design: time-based (7 days before, 2 days before, day of, day after); generalized for all audiences except Principal; not many emails; no personalization required beyond snippets. Celebrity content notes: Lance Bass filming a Vidyard ad for TreeRing — include in pre-event emails; rights restricted to email and official Facebook only. Responsibility: 'Erika will write. Morgan will proof, approve.' Timeline: Erika done ~Sept 15; Vidyard removed by Oct 5 so timing critical. After-event plan: Bobby gets attendance list; SDRs work non-attendees; attendees get reference snippets. If prospect replies to TRL sequence, they remain in their original sequence as well.",,
