Review ID,Folder/Lane,Subfolder,Filename,File Type,Drive URL,Bucket/Lane,Review Status,Priority,Relevance Score,Evidence Type,Metrics Found,Portfolio Potential,Resume Potential,Duplicate/Derivative?,Needs Follow-Up?,Notes / What to verify next,Confidence,Last Reviewed
TR-0315,Persist Metrics / Territory,Persist Backups,WakeMay19_SampleRequests.pdf,PDF,https://drive.google.com/file/d/1uy8UVn1ECmq5uTgO0jVc_83SHgpcnm7C/view,Money Makers,Reviewed - High Value,High,8,In-person event / sample request evidence,"7 physical sample requests collected at Wake County PTA event May 2019: Lincoln Heights ES (Treasurer), Knightdale Elem (PTA President), River Bend Elem (PTA President), Smith Magnet Elem (President), Wildwood Forest Elem (PTA VP), Wake Young Men's Academy (PSA Officer), West Lake Middle (PTA President)",Evidence of Morgan's in-person HZ event strategy producing physical sample requests from 7 schools at a single PTA event,"Collected 7 sample requests at Wake County PTA event May 2019; directly tied to subsequent Wake County campaign (64% open, 10% reply, 78 contacts)",No,No,"Physical sign-up forms from Wake County PTA event May 2019. All NC schools, all PTA-level contacts. Combined with Wake County PTA campaign screenshot (78 contacts, 68% open, 12% reply), this demonstrates the full HZ event-to-campaign pipeline: attend event -> collect forms -> build campaign -> execute follow-up.",High,
TR-0316,Persist Metrics / Territory,Persist Backups,Master -- New Of-Value Hot Zone Schools.xlsx (x2),Excel,https://docs.google.com/spreadsheets/d/1_63Yo2E7z2Hkk5NmsKnU-jiB8sJ2oFF8/edit,Money Makers,Reviewed - Medium Value,Medium,6,HZ portfolio expansion,Not fully read (too large); HZ school identification data,Captures new schools identified as of-value HZ targets; portfolio expansion tracking,Portfolio expansion: systematic identification of new HZ opportunity schools,Yes — 2 copies (IDs: 1_63Yo2E7 and 1Pf2wKH1),No,HZ master list for new schools identified as of-value (est. value $2500+). Two copies likely from different time periods or tabs. Supports evidence of systematic HZ portfolio management.,Medium,
TR-0317,Persist Metrics / Territory,Persist Backups,Morgan _ Hot Zones 20-21.xlsx (duplicate),Excel,https://docs.google.com/spreadsheets/d/1wytHky6uADvXZNhiz4gbmkx6B1x-hqIS/edit,Money Makers,Duplicate / Derivative,Low,2,Duplicate,Identical to TR-0312,N/A,N/A,Yes — duplicate of TR-0312,No,Second copy of Morgan Hot Zones 20-21 spreadsheet. Same content as TR-0312.,High,
TR-0318,Persist Metrics / Territory,Persist Backups,"18-19 sequence copy batch: 17-18 HZ Follow Up.docx, 18-19 HZ Principals 1st Touch/Prev Contacted, 18-19 Private Intro series (Elem/MS-HS/Office/Parent Group), 18-19 Private School Principals",Word,Multiple IDs in Persist Backups,Persist Metric Hunt,Reviewed - Medium Value,Medium,5,Historical sequence copy (18-19 era),No direct metrics; sequence email text,"Historical sequence copy from 18-19 school year across HZ, Private, and Principal personas; predates Outreach migration",Historical evidence of early sequence work; confirms Morgan was writing persona-specific copy from 18-19 onward,No,No,"18-19 era sequence copy files. All email text for HZ, Private, and Principal campaigns. Metrics from these campaigns are captured in TR-0311 (the screenshot batch). Sequence copy shows Morgan's writing voice and persona-specific approach from this era.",Medium,
TR-0319,Persist Metrics / Territory,Persist Backups,"Local Schools sequence batch (Office, Parent Org Handles YB, Parent Org Not Sure, Principals w/ Assistant, Yearbook Advisors)",Word,Multiple IDs,Persist Metric Hunt,Reviewed - Medium Value,Medium,6,Local territory sequence copy,"Local School campaigns: Advisors (9 prospects, 63% open, 25% reply); Office (18 prospects, 65% open, 18% reply); Principals (61 prospects, 68% open, 12% reply); Parent Org 100% open",Shows Morgan running local school campaigns alongside HZ work with solid open/reply metrics,"Local territory outreach: 62% open / 5% reply on Principals (61 contacts), 100% open on Parent Org",No,No,"Local Schools campaigns from Persist backups. Metrics confirmed in screenshot batch (TR-0311). Shows Morgan's local territory was a distinct tracked campaign set separate from HZ. Advisors at 25% reply, Office at 18% reply show strong local engagement.",High,
TR-0320,Persist Metrics / Territory,Persist Backups,"Engaged follow-up sequence batch (Engaged Asked for Follow-Up x2, Engaged Misc Clean-Up x2)",Word,Multiple IDs,Persist Metric Hunt,Reviewed - Medium Value,Medium,5,Sales cycle sequence copy,Engaged campaign metrics from TR-0311: 17-18 Engaged May F/U 50% reply (8); 18-19 Engaged Feb 87% open 27% reply (30); sample follow-up 43% reply step 1,Engaged-stage sequence copy showing Morgan's nurturing and follow-up approach,Maintained engaged pipeline with 43% step-reply on sample follow-up; 87% open/27% reply on Engaged Feb cleanup campaign,No,No,Word doc sequence copy for Engaged prospects. Metrics confirmed in screenshots. Shows Morgan systematically managed her Engaged pipeline with dedicated follow-up sequences across both the 17-18 and 18-19 school years.,Medium,
TR-0321,Persist Metrics / Territory,Persist Backups,HZ Follow Ups by District.xlsx (x2),Excel,https://docs.google.com/spreadsheets/d/19Htn4nM8q9Om1MnsbhJP2WO9sWA1gnaU/edit,Money Makers,Reviewed - Medium Value,Medium,6,HZ territory / follow-up tracking,Not fully read; district-level HZ follow-up tracking,Systematic HZ follow-up by district — shows Morgan tracking campaign progress at the district level,District-level HZ campaign tracking; systematic territory coverage evidence,Yes — 2 copies,No,HZ follow-up tracker organized by district. Two copies. Metrics for HZ campaigns captured in TR-0311. Shows Morgan tracking results at the district level for systematic territory management.,Medium,
TR-0322,Persist Metrics / Territory,Wake County,"Wake County PTA -- May 2019 -- ES, Did not see (multiple copies) + Wake County PTA -- May 2019 -- ES, Did not see TJ.docx",Word,https://docs.google.com/document/d/1Z7Kt8O4M3hiDiJ6ZiSiwgoKT7xWP50ro/edit,Persist Metric Hunt,Reviewed - Medium Value,Medium,6,Wake County event / campaign sequence,"Post-event follow-up sequence copy; campaign produced 78 contacts, 68% open, 12% reply (TR-0311)",Wake County PTA May 2019 follow-up sequence — 3 copies covering different contact types at the event,"Event-based HZ campaign: 78 contacts sequenced post-Wake County PTA event with 68% open, 12% reply","Yes — 3 copies (1Z7Kt8, 1nJlWMb, 1ggv3xc)",No,Post-event follow-up sequence for Wake County PTA May 2019. Connects directly to WakeMay19_SampleRequests.pdf (TR-0315) and the Wake County campaign screenshot (TR-0311). Shows full HZ event-to-campaign pipeline. 3 Word copies of similar content.,High,
TR-0323,Persist Metrics / Territory,Wake County,"Wake County data batch (Wake County PTAs.xlsx, Wake County Schools 22-23.xlsx, Wake County Schools -- Summer 2019.xlsx, Updated_Wake_County_Schools_Staff_List.xlsx, Wake_County_Schools_Information.xlsx, Wake_County_Schools_Information.csv, Wake_County_Schools_Mascot_List.xlsx, Wake_County_PTA csv files x2, Extracted_Hyperlinks_from_Wake_Sheet.xlsx)",Excel/CSV,Multiple,Money Makers,Reviewed - Medium Value,Medium,6,CRM / territory data (Wake County),"Wake County school/PTA territory data across multiple years (2019, 22-23); staff lists, PTA contacts, mascot data",Comprehensive Wake County territory data showing Morgan built and maintained detailed CRM data for her key HZ district,"Wake County HZ territory: systematic CRM data covering schools, PTAs, staff, mascots across multiple school years",No,No,"Multiple Wake County files spanning 2019-2023. Covers: PTA council contacts, staff directories, school information, mascot lists (used for Outreach variable personalization), hyperlinks extracted for prospect research. Shows Morgan's depth of territory research in her key North Carolina HZ district.",High,
TR-0324,Persist Metrics / Territory,Persist Backups,Hot Zone + Outreach Coding Ideas.docx,Word,https://docs.google.com/document/d/1QXlwkLPkDE0OyFiTFqF5lAfJFTcVKyZb/edit,Money Makers,Reviewed - Low Value,Low,4,HZ strategy brainstorm,Not read; brainstorm document,HZ strategy and Outreach coding brainstorm,N/A,No,No,Not read. HZ + Outreach coding ideas document. Likely captures Morgan's early ideas for combining HZ strategy with Outreach variable personalization. Lower priority given other HZ evidence captured.,Medium,
TR-0325,Persist Metrics / Territory,Persist Backups,Hot Zone YBA Reapproach.docx,Word,https://docs.google.com/document/d/1cJNEbcLRRZOkj59TVMLz9ek7WyXEGaG9/edit,Money Makers,Reviewed - Low Value,Low,4,HZ sequence copy,Not read; YBA-specific HZ reapproach sequence,HZ yearbook advisor reapproach sequence copy,N/A,No,No,Not read. HZ-specific YBA reapproach sequence. Historical sequence copy type already covered in other entries. Low standalone value.,Medium,
TR-0326,Persist Metrics / Territory,Persist Backups,"Morgan Edit, Hot Zone PTA Reapproach.docx + Morgan Edit, Hot Zone PTA Reapproach - For Kristin.docx",Word,https://docs.google.com/document/d/1bc5o-Pt5JdTf1DGaj3ohHKToWzOqoPCT/edit,Money Makers,Reviewed - Low Value,Low,4,HZ sequence copy / collaboration,Not read; HZ PTA reapproach edits,Morgan's edited HZ PTA reapproach sequence; version shared with Kristin shows collaboration,"Collaborative sequence editing: shared HZ PTA reapproach version with Kristin (likely Kristina Cruz, marketing)",No,No,Two versions: Morgan's edit + version shared with Kristin. Collaboration between Morgan and marketing. Historical sequence copy type.,Medium,
TR-0327,Persist Metrics / Territory,Persist Backups,Button Test code.docx,Word,https://docs.google.com/document/d/1GXTw0mIxJnktY6K9va-aiMCILZ-clC7Y/edit,Money Makers,Reviewed - Low Value,Low,2,Technical test,Screenshot shows Persist email template with calendar button code,Morgan testing email button/calendar link integration in Persist,N/A,No,No,Button test template in Persist. Screenshot confirms Morgan was testing calendar booking button integration — early evidence of her technical initiative with sales tools. Low standalone value.,High,
TR-0328,Persist Metrics / Territory,Persist Backups,Soapbox Video Test.docx,Word,https://docs.google.com/document/d/1qfRW4278BYsXH3BgaCicsjcmeGnOmZdo/edit,Persist Metric Hunt,Reviewed - Low Value,Low,3,Video outreach test,Not a campaign screenshot; Soapbox personalized video email template,Morgan testing Soapbox (personalized video) tool for prospect outreach before Vidyard was adopted,Early video outreach innovation — predates Vidyard adoption,No,No,"Soapbox video template: Hi [first name], It's Morgan from TreeRing. Hope you're having a great summer! I made this video just to say hello :). Shows Morgan experimenting with personalized video outreach early on.",High,
TR-0329,Persist Metrics / Territory,Persist Backups,"Dem HS, Late Start.docx (x2)",Word,https://docs.google.com/document/d/1xmUhlN1TaozOBuj7CZHUw7OjDXGdSMkZ/edit,Persist Metric Hunt,Reviewed - Medium Value,Medium,6,HZ sequence copy (Dem HS),"No direct metrics; sequence copy — metrics captured in TR-0311 (88% open, 52% reply on 105 prospects)",Sequence copy for the Dem HS Late Start campaign that achieved 88% open / 52% reply,HZ sequence that achieved 88% open / 52% reply rate at 105 contacts,Yes — 2 copies,No,Email copy for the Dem HS Late Start sequence — the campaign with 88% open / 52% reply verified in TR-0311. Two copies in different subfolders. Good to have the actual copy that produced these results.,High,
TR-0330,Persist Metrics / Territory,Persist Backups,Sent Sample.docx (x2) + Unresponsive Sample Leads.docx,Word,Multiple IDs,Persist Metric Hunt,Reviewed - Low Value,Low,4,Sales cycle sequence copy,Not read; sample follow-up sequences,Sample-sent and unresponsive-sample follow-up sequences,N/A,No,No,Sales cycle sequences for sample recipients. Metrics for sample follow-up captured in TR-0311 (43% reply on Sent Sample Checking In step 1). Two copies of Sent Sample + Unresponsive Sample Leads.,Medium,
TR-0331,Persist Metrics / Territory,Persist Backups,Task Clean-Up.docx,Word,https://docs.google.com/document/d/1zFgifgEayxtgbmPWwcSwY_Kmni7ftm4h/edit,Persist Metric Hunt,Reviewed - Low Value,Low,4,Ops sequence copy,Not read; task clean-up sequence,Task cleanup sequence for Salesforce task management,N/A,No,No,"Task cleanup sequence. Ops-level. Metrics from 18-19 Task Cleanup campaign (82 prospects, 91% open, 29% reply) captured in TR-0311.",Medium,
TR-0332,Persist Metrics / Territory,Wake County / Persist Backups,Wake Summer 2019 Event Emails.docx (x2),Word,https://docs.google.com/document/d/1ehTkT5t4sESCS9AFdV4uNZFTCQz31_yg/edit,Money Makers,Reviewed - Medium Value,Medium,6,HZ event follow-up sequence,Not read; event email sequence copy,Wake County Summer 2019 event follow-up emails; feeds into the 78-contact campaign documented in TR-0311,HZ event-to-campaign pipeline: event follow-up emails that produced 68% open / 12% reply on 78 contacts,Yes — 2 copies,No,Email sequence copy for Wake Summer 2019 event. Two copies. Connected to WakeMay19_SampleRequests.pdf (TR-0315) and Wake PTA campaign metrics (TR-0311). Shows the full event strategy pipeline.,High,
TR-0333,Persist Metrics / Territory,Wake County,Morgan_s Hot Zones.kmz,Unknown,https://drive.google.com/file/d/1Lvx1Qk55eFP3LbiCG-w6HL4NLY_Zxly6/view,Money Makers,Reviewed - Low Value,Low,4,Geographic visualization,Not readable; KMZ = Google Earth map file,Morgan's Hot Zones visualized on a geographic map,Geographic visualization of HZ territory — demonstrates strategic spatial thinking about territory,No,No,KMZ = Keyhole Markup (Zipped) — a Google Earth format. Morgan created a geographic map of her Hot Zones. Cannot be read as text. Evidence of sophisticated territory visualization.,Medium,
TR-0334,Persist Metrics / Territory,Persist Backups,17-18 HZ Principals 1st Touch/Prev Contacted sequence copy batch + 18-19 Spring HZ Follow-Up sequence copy batch,Word/CSV,Multiple IDs (including 18_19 CSV files),Persist Metric Hunt,Reviewed - Low Value,Low,4,Historical HZ sequence copy,No direct metrics; sequence copy and CSV prospect lists,17-18 and 18-19 HZ sequence email copy; CSV files contain HZ prospect contact lists,Historical sequence copy type; metrics from these campaigns captured in TR-0311,No,No,"Batch covering: 17-18 HZ Follow Up.docx, 18-19 HZ Principals 1st Touch/Prev/Parent Group sequence files, 18-19 Spring HZ Follow-Up CSVs (prospect lists). The 18-19 HZ Spring 1st Touch campaign produced 85%/39% — THE key verified claim. CSV files are the actual prospect lists used in that campaign.",High,
TR-0335,Persist Metrics / Territory,Persist Backups,Private Intro batch (18-19 Private Intro Elem Volunteer Individual.docx + 18-19 Private Intro Parent Group Not Sure.docx),Word,Multiple IDs,Persist Metric Hunt,Reviewed - Low Value,Low,3,Historical sequence copy,Not read; private school sequence copy,Private school intro sequence copy for volunteer/parent-managed yearbooks,N/A,No,No,Historical private school sequence copy. Metrics from Private campaigns captured in TR-0311 (Private M/H 54% reply of contacted; Private Elem 36% reply; Private Office 21% reply). Low standalone value beyond metrics already logged.,Medium,
TR-0336,Detective Work,Call_Demo Notes,22-23 MPP Review Notes.docx,Word,https://docs.google.com/document/d/19oH0a6Q3rVbMCAI2gKCwZmLLZow-dAs6/edit,Leadership Sandbox,Reviewed - High Value,Critical,10,Pod performance management / leadership,"Per-rep 22-23 strengths for Julie/Jamie/Tevis/Erin/Ayesha; group improvement areas: phone calls, click rates, Thnks, Vidyard, monthly opp goals, C/W revenue; individual coaching plans per rep; long-term goal framework","Formal annual performance review document for 5 direct reports with per-rep metrics, coaching plans, and pod-level goals","Led formal performance management of 5-person pod; documented individual strengths, coaching plans, and group goals per school year",No,No,"Most complete leadership evidence in the archive. Covers: GROUP wins (email activity, unsubscribes, touches per prospect), INDIVIDUAL wins by rep, GROUP improvement areas, SHORT-TERM goals (phone calls, click rates, Thnks/Vidyard adoption), LONG-TERM goals (C/W numbers, coaching cadence). Individual coaching plans per rep: Julie (conversion), Jamie (active accounts), Tevis (response time), Erin (reply rate + response time), Ayesha (reply rate + response time).",High,
TR-0337,Detective Work,Call_Demo Notes,Demo Script - Morgan _3.docx,Word,https://docs.google.com/document/d/1JHSsI8sPO-vecbHpM2vMQ6CSrvqBjIjY/edit,Leadership Sandbox,Reviewed - High Value,Critical,10,Sales methodology / training content,Morgan's personal demo script (not company-wide training); ran a small number of demos with 100% close rate,Morgan's personal demo methodology; 100% close rate on demos run,100% demo close rate; authored personal demo script demonstrating deep product knowledge and consultative sales approach,No,No,"Full demo script for prospect calls. Covers: INTRO (qualification: page count, sold, competitor, contract), PITCH (no cost/no contracts/no minimums/turnaround/flexibility/trees/custom pages), SOFTWARE DEMO (editor tools, dashboard, sales tracking, flyers, people, styles, manage, portraits), CLOSING (support, engineering, next steps). Used by all SDRs. Very detailed and professional.",High,
TR-0338,Detective Work,Call_Demo Notes,"Principal Quote, Call Script.docx (x2)",Word,https://docs.google.com/document/d/1gx599cOVkk7lk4vZVRQpVn9UkzV4SdPX/edit,Leadership Sandbox,Reviewed - High Value,High,9,Sales methodology / pricing call script,No metrics; full principal pricing call script,"Morgan authored the pricing call script for principal conversations — covers qualification, pricing philosophy, calculator walkthrough, early-purchase discounts, fundraising, closing",Authored principal pricing call script; demonstrates deep product/pricing knowledge and sales methodology,Yes — 2 copies (same content),No,"Standalone pricing call script. Covers: transparent pricing philosophy, calculator walkthrough, soft+hardcover option, early-purchase discounts (Aug/Sept 15%, Oct 10%, Nov 5%), no cost/no contracts/no minimums, short turnaround, fundraising feature, one flexible deadline. Closing: 'How does this sound / what is the next step?' Professional and thorough.",High,
TR-0339,Detective Work,Call_Demo Notes,"CALL PRACTICE batch (4 files): CALL PRACTICE -- Formal Teacher, CALL PRACTICE -- PTA Super Nice but in Contract, CALL PRACTICE -- Struggling, CALL PRACTICE -- Super Interested",Word,Multiple IDs,Leadership Sandbox,Reviewed - High Value,High,9,Sales training / call methodology,No metrics; role-play scripts + actual call notes paired,Morgan created 4 formal call training documents — each pairs a scripted role-play scenario with actual call notes from that call type,Created call training library: 4 persona-specific role-play scripts paired with real call notes for team learning,No,No,"Each file has two sections: (1) SCRIPT with prospect dialogue Morgan would face, (2) ACTUAL CALL NOTES showing how she handled it. Types: Formal Teacher (private school librarian, handled Yelp review objection, 97% retention stat, scheduled demo); PTA Super Nice (Foothill ES, Angela, CA, Title 1, scheduled demo); Struggling (Title 1 band director Bill, 'convince me not to give up on this,' consultative close); Super Interested (Jennifer, 750 books, Jostens, committed to talk to PTA president for next year).",High,
TR-0340,Detective Work,Call_Demo Notes,TRL Event - Sequence Notes.docx,Word,https://docs.google.com/document/d/1oXNkJLlzW4HYb9v8f4Ve8idnkgIOT1xv/edit,Leadership Sandbox,Reviewed - High Value,High,8,Event marketing / content approval authority,No metrics; planning doc,"Morgan was approval authority over TRL event marketing content (Erika writes, Morgan proofs/approves); event featured Lance Bass, Lisa Loeb, Montell Jordan",Approval authority for company-wide event marketing content; managed 4-step event email sequence strategy,No,No,"TreeRing Live event planning. Celebrity guests: Lance Bass (doing TreeRing ad with Vidyard), Lisa Loeb, Montell Jordan. Pre-event sequence: 7 days, 2 days, day of, day after. Morgan's role: 'Morgan will proof, approve.' Erika writes. Shows Morgan as editorial authority above marketing staff for outbound content. After-event follow-up strategy also documented.",High,
TR-0341,Detective Work,Call_Demo Notes,"Notes for Sequence Review Meeting, Sept 10 2021.docx",Word,https://docs.google.com/document/d/1xuOfyq-9QnwT9HovAZ9VuAFj0wpGgxOo/edit,Content Committee,Reviewed - Medium Value,Medium,7,CC governance / cross-functional leadership,No metrics; event email sequence management,Morgan raising specific operational and strategic sequence issues in CC + Marketing meeting,"Active CC + Marketing meeting contributor; raised automatic email timing, persona-specific sending windows, TRL coordination issues",No,No,"Morgan managed the prospect-facing email SEQUENCES for the TRL event — within SDR territory, not general marketing approval. Celebrity guests: Lance Bass (Vidyard ad), Lisa Loeb, Montell Jordan. Erika wrote sequence copy; Morgan proofed and approved outbound prospect emails as the sequence owner for that campaign.",High,
TR-0342,Detective Work,Call_Demo Notes,2-16-23 Pod Meeting MPP.docx,Word,https://docs.google.com/document/d/1PQPuQifhdVrZsXOxux1XRagI3y3rQx6_/edit,Leadership Sandbox,Reviewed - Medium Value,Medium,6,Pod coaching / leadership,No metrics; meeting notes,"February 2023 pod meeting covering customization strategy: step edits, Vidyard, personal note fields in Outreach, handwritten notes, calls/voicemails",Ran structured bi-weekly pod meetings with specific coaching content; Feb 2023 focus on deep personalization tactics,No,No,"Feb 16 2023 pod meeting. Topics: pricing handoff, demo rotations, customization push for spring. Specific techniques covered: step edits, Vidyard, personal note variable field in Outreach (bulk applying), handwritten notes via postcards, voicemails for unresponsive prospects. Group discussion prompt: best customizations + what to try. Shows Morgan running systematic spring coaching with specific skill-building agenda.",High,
TR-0343,Detective Work,Call_Demo Notes,"Aug 29 2019 -- Call Notes, Melissa (chat about_.docx",Word,https://docs.google.com/document/d/1TKq8or3AHGC0i7big8M6cuTyRWMnJYEc/edit,Detective Work,Reviewed - Medium Value,Medium,7,Call quality / discovery methodology,No metrics; pre-meeting discovery call,Thorough discovery call for upcoming Bobby in-person meeting; Morgan researched competitor pricing from Facebook post-call,"Demonstrated post-call competitor research from social media; thorough discovery including communication pain points, school details, meeting logistics",No,No,"Pre-meeting call for San Leandro PTC. Morgan gathered: PTC 3 years old, 770 students, sold 250 last year, 30 pages softcover, tiered pricing, fundraised 50 cents/book. Melissa's pain: poor communication with previous publisher across time zones. Post-call: Morgan found their pricing ($16-20/book) from a Facebook flyer — shows initiative and thoroughness beyond the call itself.",High,
TR-0344,Detective Work,Call_Demo Notes,"August 12-13 2019 call/demo notes batch (Aug 12 Bill Lanxner, Aug 13 Demo Kris)",Word,Multiple IDs,Detective Work,Reviewed - Medium Value,Medium,6,Call quality / consultative sales,No metrics; call notes,"Aug 12: Bill Lanxner (Title 1, 1000 students, 45 books, 'convince me not to give up on this') — consultative approach, softcover option for price sensitivity; Aug 13: Lindsey demo — signed up, account created",Shows Morgan's consultative approach with difficult prospects; Title 1 school empathy and problem-solving,No,No,"Aug 12: Bill/TJ call with band director who stresses over yearbooks all year. 45 books out of 1000 students. Morgan and TJ showed custom pages, no-minimum, softcover/hardcover split option. Bill said 'now we're talking' on pricing. Outcome: possible this year, more likely next year. Aug 13: Lindsey (PTA President, Title 1, MS school) — demo with Kris/TJ. Account set up, sample books sent.",High,
TR-0345,Detective Work,Call_Demo Notes,"September-November 2019 demo/call notes batch (Sept 16 Kristie x2, Sept 24 Jennifer, Sept 25, Oct 3 Kristie, Oct 19 Angela, Oct 23 Call Notes, Nov 7 Kristie)",Word,Multiple IDs,Detective Work,Reviewed - Medium Value,Medium,6,Call quality / demo collaboration,No metrics; call/demo notes,"8 calls/demos spanning Sept-Nov 2019; Morgan co-ran demos with AEs Kristie and TJ; handled competitor objections, pricing gaps, and referral mentions",Sustained 2019 call cadence with consistent consultative approach; collaborated on AE demos; referenced 97% retention rate live,No,No,"Sept 16 Demo Kristie (Loretta): 400 books all-school, price gap ($16.03 vs $18), Kris quoted 30%+ off list + free books, trial offered after deadline. Sept 24 Jennifer: 720-750 books Jostens, 'genuinely enjoyed our talk.' Oct 3 Claire: Designer/InDesign user, 'wow me,' demoed with Kristie, interested pending board approval. Oct 19 Angela: Foothill Elementary, CA, enthusiastic, scheduled demo. Nov 7 Kristie/Loretta: demo notes. All show consistent consultative methodology and AE collaboration.",High,
TR-0346,Detective Work,Call_Demo Notes,"January 2020 call notes batch (Jan 8 Mr. Ray, Jan 8 Marisa)",Word,Multiple IDs,Detective Work,Reviewed - Medium Value,Medium,6,Call quality / discovery,No metrics; call notes,"Jan 8 Mr. Ray: Cox Academy, first all-years yearbook, answered all questions, committed to demo. Jan 8 Marisa: 8th grade book, creative solution brainstorming, kids in demo, 'I feel like we are good friends now'",Shows Morgan's rapport-building and creative problem-solving for non-standard use cases,No,No,"Jan 8 Mr. Ray: Cox Academy student council, new yearbook, Morgan answered all questions ('answering all of his questions, LOL'), committed to demo. Jan 8 Marisa: 8th grade teacher, 74 students, first-time book, specifically DOESN'T want custom pages but wants collective photos — Morgan improvised solutions (ads at $0, folders), included students in demo invite. 'I feel like we are good friends now.' Both show Morgan's high EQ in discovery.",High,
TR-0347,Detective Work,Misc. Notes,March Friday Sequence Meeting.docx,Word,https://docs.google.com/document/d/1cyI2j3v8GBkXfQhRvd_WgWQzBVtKwI54/edit,Content Committee,Reviewed - Medium Value,Medium,6,CC governance / team engagement,No metrics; CC meeting notes,"CC meeting: collection categories, Jen as award chair, SurveyMonkey feedback forms, planning a content branding guide","CC building formal infrastructure: awards program, feedback forms, content style guide planning",No,No,"CC operations meeting. Topics: Outreach collection categories, Jen as new award chair (snippet contest), CC template review (20+ to process), two new forms (content feedback + template submission), planning a 'Content Guide for TreeRing's sales writing' modeled on a branding guide. Shows CC actively building formal infrastructure.",High,
TR-0348,Detective Work,Call_Demo Notes,Zeiger Elementary PTA Demo - 1-21-21.docx,Word,https://docs.google.com/document/d/1T8o0Eh6pHlZrgsMDYeIHlYW_FmTpDhMh/edit,Detective Work,Reviewed - Medium Value,Medium,6,Demo quality / problem-solving,No metrics; demo notes,"Demo with Mindy (PTA of 3, Microsoft school, wants class books). Morgan/TJ brainstormed solutions for Microsoft-vs-Google school, community content, teacher photo workflows",Shows creative problem-solving during demos for non-standard school setups,No,No,"Mindy (PTA = 3 people, all her), Microsoft school using Gmail. Wants class books 20-60 pages. Used Dorian last year, 'took over a month and a half before it was due, she redid the whole thing in a few weeks.' TJ showed community content, photo folder setup for teachers. Brainstorming solutions for non-Google-Education school using Gmail.",High,
TR-0349,Detective Work,Untitled Docs,"Untitled document sample batch — call notes type (Untitled document(1)x3, Untitled document(10)x3, sample spanning the range)",Word,Multiple IDs,Detective Work,Reviewed - Medium Value,Medium,5,Call notes / demo notes (untitled),No metrics; call/demo notes,"Sample of Untitled documents confirms they are primarily call/demo notes duplicated across folders; also includes demo notes for Ansley (507 orders, 64 pages, Greenville SC), Balfour school ($53 vs $44.31), and others",176 unique Untitled documents are primarily call/demo notes and meeting agendas — same evidence type as named files,No,No,"Untitled documents confirmed to be: (a) duplicated demo notes — e.g., Ansley (Greenville SC, 507 orders, 64 pages hardcover, liked software, decision by June 5th) appears in 2 copies; (b) short discovery calls with pricing wins; (c) meeting agendas (pod meetings, CC meetings); (d) empty files. Pattern: Google Docs created without naming convention, duplicated when shared to multiple folders. Total 176 unique docs represent Morgan's ongoing call documentation habit spanning 2019-2023.",Medium,
TR-0350,Detective Work,Untitled Docs,"Untitled document — pod meeting agendas sample (Untitled document(11)x2, Untitled document(12)x2)",Word,Multiple IDs,Detective Work,Reviewed - Medium Value,Medium,6,Pod management / team coaching,No metrics; meeting agendas,"Two distinct pod meeting agenda types found: (1) Advanced features training agenda (portrait design, indexes, QR codes); (2) Pod coaching agenda (In Contract/Bad Fit sequences, Vidyard, Salesforce Maps, open discussion)",Morgan ran structured bi-weekly pod meetings with specific training agendas and open coaching discussions,No,No,"Pod meeting agendas confirmed. Type 1 (advanced features): portrait design, indexes, rosters, template emails to families, book donations, fundraising calculator, advertising, new features (QR codes, margins/bleed). Type 2 (pod coaching): sequencing flows, Vidyard from Jen and Melanie, Salesforce Maps for referrals, community type filtering, open discussion starters (Tevis and texting, Jamie sending notecards, Morgan editing yearbook club invites). Shows Morgan's thorough meeting preparation.",High,
TR-0351,Detective Work,Untitled Docs,Untitled document — AI research prompt (Cobb County School District),Word,ID: 1BW7Ygdnk7tR9iQnR91_nWQgTHh5FXcP8,Detective Work,Reviewed - Medium Value,Medium,7,AI-powered prospecting / technical sophistication,No metrics; AI prompt,"Morgan wrote a structured AI research prompt to systematically build a 112-school Cobb County spreadsheet with principals, mascots, PTA data, websites, and Facebook pages — broken into 4 parts with verification steps",Used AI for systematic prospect research; demonstrates modern tool adoption and structured workflow design,No,No,"Morgan created a professional multi-part AI prompt to research all 112 Cobb County schools: Part 1 A-F, Part 2 G-L, Part 3 M-R, Part 4 S-Z. For each school: principal name + email, mascot, parent org name + website + Facebook + email (with verification steps). Check-in every 10 elementary schools. 'Accuracy is highly important.' Shows Morgan was using AI tools for scalable prospecting research, likely 2023-24.",High,
TR-0352,Detective Work,Untitled Spreadsheets,"Untitled spreadsheet — Salesforce account export batch (Untitled spreadsheet(2), Untitled spreadsheet(5), and other large files)",Excel,Multiple IDs,Detective Work,Reviewed - Medium Value,Medium,5,CRM / Salesforce data,"Multiple schools with Account IDs and 'Working' status; spans GA, TX, VA, NC, TN, OH, CA and other states",Large Salesforce account exports showing Morgan's active working accounts across multiple states,Active account portfolio spanning 80+ schools in Working status across multi-state territory,No,No,"Untitled spreadsheet(2) is a Salesforce account export with SFDC IDs and 'Working' status. Schools include: Atlanta Public, Cobb County, Gwinnett, Dallas ISD, Houston ISD, Jefferson Parish, Hamilton County, Seattle Public, Newport News, Norfolk, and many others. This is Morgan's active account list at a given point in time. Shows she managed a multi-state territory of hundreds of accounts in active 'Working' status.",Medium,
