Role / Company,Tags,Bullet Point
Treering Yearbooks,[generalist],"- Enforced handoff SLAs, reminders, and context-rich notes to raise book-to-show and show-to-SQL for AEs"
Treering Yearbooks,[ops],"- Enforced stage definitions, aging alerts, next-step discipline, and loss reason codes; maintained a meetings-to-opportunities hygiene view to avoid gaps between stages"
Treering Yearbooks,[email],"- Engineered campaigns in Outreach.io using segmentation, A/B testing, and analytics to improve conversion and engagement."
Treering Yearbooks,[ops][mgmt],"- Engineered logic-driven Salesforce + Outreach journeys (intent/behavior triggers, A/B tests, variable copy) and standardized QA/variables across a 20+ person remote team to raise delivery accuracy and replies."
Treering Yearbooks,[email],"- Engineered year-long, full-funnel campaigns in Outreach.io with customized messaging, A/B testing, and logic-based branching."
Treering Yearbooks,[ops],"- Enhanced CRM data tracking in Salesforce and Outreach.io, optimizing pipeline workflows and marketing campaign performance."
Treering Yearbooks,[ops],"- Enhanced Outreach.io campaigns with advanced segmentation logic, optimizing response rates and strengthening pipeline quality."
Treering Yearbooks,[ops],"- Enhanced outreach by building and optimizing Outreach.io campaigns with advanced segmentation logic, improving pipeline quality."
Treering Yearbooks,[content][design],"- Ensured consistency across emails, internal decks, and social content through cross-channel visual strategy alignment"
Treering Yearbooks,[design],"- Equipped Sales with activation kits (decks, one-pagers, talk tracks) to support opportunity progression and shorter sales cycles."
Treering Yearbooks,[content],- Established a cross-department Content Committee to streamline review cycles by 20% and standardize messaging across 100+ email templates and sales assets.
Treering Yearbooks,[ops],"- Established a unique, data-focused role to uncover untapped revenue, resulting in $3M+ identified in new pipeline"
Treering Yearbooks,[email],"- Established comprehensive QA frameworks for campaign logic and template testing, cutting errors by 50%"
Treering Yearbooks,[mgmt],- Established feedback loops translating team insights into actionable process improvements.
Treering Yearbooks,[ops][mgmt],- Established systematic account management processes tracking 15 data points across 200+ tasks to support informed follow-up.
Treering Yearbooks,[generalist],"- Established testing roadmaps, regularly sharing results and actionable insights with stakeholders to drive continuous optimization."
Treering Yearbooks,[mgmt],- Exceeded first-year sales goals by 17%; became the first outbound team member to generate $1M+ in sourced revenue.
Treering Yearbooks,[mgmt],- Exceeded sales target by 17% in the first year; first outbound team member to achieve $1M+ in closed revenue
Treering Yearbooks,[mgmt],- Exceeded sales target by 17% in the first year; was the first outbound team member to achieve $1M in closed revenue.
Treering Yearbooks,[email][content],"- Executed A/B tests on subject lines, send times, and content, with top-performing campaigns reaching 34% reply rates."
Treering Yearbooks,[email][content],"- Executed A/B tests on subject lines, send times, and content, yielding top-performing campaigns with 34% reply rates and actionable insights to optimize strategies."
Treering Yearbooks,[ops],"- Executed Salesforce Data Loader bulk operations across 2,900+ accounts, reducing manual data entry 80% with 99%+ accuracy"
Treering Yearbooks,[email],"- Executed automated email campaigns that nurtured 2,000+ accounts through complex journeys, converting leads to partnerships."
Treering Yearbooks,[generalist],- Executed high-intent communications converting prospects with 25% faster deal cycles through personalized messaging.
Treering Yearbooks,[email],"- Executed high-volume outbound campaigns with systematic A/B testing, achieving measurable engagement improvements."
Treering Yearbooks,[mgmt],"- Executed high-volume outbound campaigns, testing message variations and cadences that increased engagement rates, receiving accolades from the client’s executive leadership team during exclusive 1-on-1 sessions that strongly influenced future messaging."
Treering Yearbooks,[email],"- Executed high-volume, targeted email outreach via Outreach.io, optimizing cadence and timing to improve engagement."
Treering Yearbooks,[generalist],"- Executed rolling A/B and cohort tests (subject lines, send-time, UX variants) that boosted CTR 12% and reduced unsubscribes 8%."
Treering Yearbooks,[email][content],"- Executed systematic A/B testing on subject lines, send times, and content, with top-performing campaigns achieving 34% reply rates."
Treering Yearbooks,[email],"- Executed ≈200 lifecycle-aware emails per day via Outreach.io, continually A/B-tuning cadence and timing."
Treering Yearbooks,[email][content],- Facilitated a statewide promotion with the Georgia PTA by developing a multi-channel content strategy that supported outreach across thousands of schools.
Treering Yearbooks,[email],- Facilitated a statewide promotion with the Georgia PTA by developing a tailored multi-channel pitch campaign.
Treering Yearbooks,[email],- Facilitated a statewide promotion with the Georgia PTA by developing a tailored multichannel pitch campaign.
Treering Yearbooks,[content],- Facilitated monthly training and strategic planning meetings with cross-functional stakeholders and executive leadership.
Treering Yearbooks,[ops][mgmt],- Fast-tracked to Team Lead within six months by consistently exceeding lead generation and pipeline-building goals.
Treering Yearbooks,[mgmt][ops],"- Fast-tracked to Team Lead within six months, managing a 12-person SDR team and driving high-performing pipeline results."
Treering Yearbooks,[mgmt][enablement],"- Fast-tracked to Team Lead within six months, managing a 12-person team through coaching, daily huddles, and 1:1 mentorship."
Treering Yearbooks,[ops],- First outbound employee in company history to generate $1M+ sourced revenue through sophisticated CRM segmentation and Outreach automation; exceeded first-year quota by 17%
Treering Yearbooks,[generalist],"- First outbound employee to surpass $1M in sourced revenue, exceeding first-year goal by 17%."
Treering Yearbooks,[generalist],"- First outbound hire to surpass $1M in sourced revenue, exceeding first-year targets by 17% through strategic lifecycle engagement."
Treering Yearbooks,[mgmt],"- First outbound team member in company history to generate $1M+ in sourced revenue, exceeding goals by 17% in year one."
Treering Yearbooks,[mgmt],- First outbound team member in company history to generate $1M+ in sourced revenue; exceeded target by 17% in year one
Treering Yearbooks,[mgmt],"- First outbound team member in company history to reach $1M+ in sourced revenue, achieving 117% of target in year one."
Treering Yearbooks,[mgmt],"- First outbound team member in history to generate $1M+ in sourced revenue, exceeding KPIs by 17% in year one."
Treering Yearbooks,[mgmt],- First outbound team member in history to reach $1M+ in sourced revenue and achieved 117% of target in year one.
Treering Yearbooks,[mgmt],"- First outbound team member in history to reach $1M+ in sourced revenue, achieving 117% of target in year one."
Treering Yearbooks,[mgmt],- First outbound team member to reach $1M+ in sourced revenue — achieved 117% of target in year one.
Treering Yearbooks,[mgmt],"- First outbound team member to surpass $1M in revenue, setting a new benchmark for SDR performance."
Treering Yearbooks,[mgmt],- First outbound team member to surpass $1M in revenue—setting a new benchmark for SDR performance.
Treering Yearbooks,[ops],"- First-ever outbound employee to surpass $1M in revenue, contributing significantly to pipeline strategy and execution."
Treering Yearbooks,[content],- Founded Content Committee to align Sales and Marketing around unified customer messaging and retention strategy.
Treering Yearbooks,[content][mgmt],"- Founded Treering's Content Committee; authored brand guidelines adopted across sales, support, and success teams."
Treering Yearbooks,[content],- Founded a company-wide Content Committee to unify messaging across Sales and Marketing and boost partner engagement.
Treering Yearbooks,[content],"- Founded a cross-department Content Committee, unifying Sales and Marketing and creating/maintaining a content library."
Treering Yearbooks,[content],"- Founded a cross-department Content Committee, unifying Sales and Marketing while developing a shared content library."
Treering Yearbooks,[content][brand],"- Founded a cross-departmental Content Committee to unify messaging across Sales/Marketing, strengthening brand consistency."
Treering Yearbooks,[content],- Founded a cross-functional Content Committee to align Sales and Marketing around shared messaging and tools.
Treering Yearbooks,[content],"- Founded a cross-functional Content Committee, trimming brief-to-send timelines 20% and unifying UX across templates."
Treering Yearbooks,[content][brand],"- Founded a cross-functional content committee to unify brand voice across Sales, Support, and Success."
Treering Yearbooks,[content][brand],- Founded a cross-functional content committee to unify brand voice across teams and ensure consistent messaging.
Treering Yearbooks,[content][brand],"- Founded an internal Content Committee to unify Sales and Marketing messaging, improving engagement and brand consistency."
Treering Yearbooks,[content][brand],"- Founded an internal Content Committee to unify brand voice and messaging across digital, email, and customer-facing channels."
Treering Yearbooks,[content][brand],"- Founded an internal Content Committee to unify brand voice and messaging across sales, marketing, and customer support teams."
Treering Yearbooks,[content],"- Founded and chaired a Content Committee to unify voice and improve cohesion across Sales, Support, and Marketing."
Treering Yearbooks,[content],"- Founded and facilitated a cross-department content committee that reduced content review cycles by 20%, unifying messaging across 100+ email templates and sales assets."
Treering Yearbooks,[content],"- Founded and facilitated a cross-department content committee, aligning Sales and Marketing through a shared campaign library."
Treering Yearbooks,[content],"- Founded and facilitated a cross-department content committee, reducing content review cycles by an estimated 20% and unifying messaging across 100+ email templates and sales assets."
Treering Yearbooks,[content][brand],- Founded and facilitated a cross-functional content committee to align campaign creative with strategic goals.
Treering Yearbooks,[content],"- Founded and led Content Committee, establishing review guidelines for 96+ campaign variants addressing nuanced topics around education, family dynamics, and community values."
Treering Yearbooks,[content][brand],- Founded and led Treering's Content Committee; developed brand voice guidelines and content systems adopted company-wide.
Treering Yearbooks,[content],"- Founded and led Treering's internal Content Committee to align messaging across Sales, Support, and Marketing."
Treering Yearbooks,[content],"- Founded and led Treering's internal Content Committee, aligning messaging across Sales, Support, and Marketing."
Treering Yearbooks,[content][brand],- Founded and led a cross-functional Content Committee to standardize brand voice and QA processes.
Treering Yearbooks,[content],"- Founded and led a cross-functional Content Committee, aligning Sales, Marketing, and Support to reduce content creation timelines by 20% and ensure consistent messaging across the entire customer lifecycle."
Treering Yearbooks,[content],"- Founded and led a cross-functional Content Committee, aligning Sales, Marketing, and Support to reduce content creation timelines by 20% and ensure consistent messaging."
Treering Yearbooks,[content][brand],"- Founded and led the Content Committee to align voice, tone, and messaging across departments and campaigns."
Treering Yearbooks,[content][brand],"- Founded and led the Content Committee to define brand voice, streamline approval processes, and integrate variable logic for highly tailored, scalable outreach across teams and platforms"
Treering Yearbooks,[content],"- Founded and led the Content Committee to unify voice and improve campaign cohesion across Sales, Support, and Marketing."
Treering Yearbooks,[brand][content],"- Founded and led the Content Committee which assisted in defining brand voice, standardizing content approval processes, and simplifying creative workflows"
Treering Yearbooks,[content][brand],"- Founded and led the Content Committee, aligning messaging across departments and establishing brand standards."
Treering Yearbooks,[content][brand],"- Founded and led the Content Committee, aligning messaging across departments and introducing scalable brand standards."
Treering Yearbooks,[content][brand],"- Founded and led the Content Committee, unifying content systems and brand voice while incorporating feedback into strategy."
Treering Yearbooks,[brand][content],"- Founded and led the Content Committee, which assisted in defining brand voice, standardizing content approval processes, simplifying creative workflows, and leading high-performing email campaigns — including highly customized messaging via variable logic integration — from strategy and planning through QA, optimization, and deployment."
Treering Yearbooks,[content][brand],"- Founded and led the Content Committee, which spearheaded internal content organization, unified brand voice, and ensured inclusion of team feedback in messaging while meeting (and exceeding) marketing initiatives."
Treering Yearbooks,[content][brand],"- Founded and led the internal Content Committee to improve brand voice, unify messaging, streamline content workflows, and support alignment across Sales, Marketing, and Ops"
Treering Yearbooks,[content][brand],"- Founded and led the internal Content Committee, aligning brand messaging across Sales, Marketing, and Support."
Treering Yearbooks,[content][brand],"- Founded and led the internal Content Committee, an initiative to improve brand voice, unify messaging, streamline content workflows, and tighten the communication between the Sales and Marketing departments."
Treering Yearbooks,[content],- Founded cross-department Content Committee to reduce content review cycles and unify messaging across 100+ templates/assets.
Treering Yearbooks,[content],"- Founded cross-departmental Content Committee establishing a unified content library with 100+ assets; implemented governance protocols, reducing review cycles by 20%"
Treering Yearbooks,[content],"- Founded cross-functional Content Committee aligning Sales, Marketing, and Support, reducing campaign execution timelines by 20%."
Treering Yearbooks,[content][brand],"- Founded cross-functional Content Committee, aligning Sales and Marketing for improved deal velocity and brand consistency."
Treering Yearbooks,[content],"- Founded cross-functional Content Committee, aligning Sales and Marketing for improved deal velocity and message consistency."
Treering Yearbooks,[content],"- Founded cross-functional Content Committee, aligning Sales, Marketing, and Support to reduce content timelines by 20%."
Treering Yearbooks,[content][enablement],"- Founded the Content Committee and overhauled enablement systems, creating a brand-aligned library used across teams."
Treering Yearbooks,[mgmt],- Founding SDR (1 of 2) who launched the outbound team; first outbound hire to generate $1M+ in sourced closed-won
Treering Yearbooks,[mgmt],- Founding SDR with 10+ years across founder-led to Series B/C SaaS and EdTech; one of two SDRs to launch outbound team
Treering Yearbooks,[mgmt],- Founding SDR: 10+ years in founder-led to Series B/C SaaS and EdTech; one of two SDRs who launched the outbound team
Treering Yearbooks,[writing][email],"- Generated 62% reply rates on demo request campaigns via precise email copywriting, converting warm prospects into customers."
Treering Yearbooks,[email],"- Generated 62% reply rates on high-intent demo request campaigns, converting warm prospects into $874K in closed revenue with an average deal cycle reduction of 25%."
Treering Yearbooks,[brand],"- Helped launch equity-focused initiatives that made yearbooks accessible to schools with tight budgets, reinforcing brand values."
Treering Yearbooks,[ops][mgmt],- Identified $3M+ in untapped pipeline potential during a CRM audit project launched to support a direct report's new role by building reporting dashboards and cleanup workflows to address gaps.
Treering Yearbooks,[ops],- Identified and reactivated a dormant $3M+ pipeline through CRM data analysis.
Treering Yearbooks,[ops],"- Identified and reactivated a dormant $3M+ pipeline through data analysis and targeted email marketing campaigns. Cross-Functional, Data, & Strategic Impact:"
Treering Yearbooks,[ops],"- Identified over $3M in potential revenue through custom reports, dashboards, and data cleanup."
Treering Yearbooks,[email][enablement],"- Impact: Built a customer proof program across 2,000+ accounts contributing $1M+ in sourced revenue; created enablement that delivered 43% reply rates and 80%+ engagement"
Treering Yearbooks,[generalist],"- Implemented A/B testing and cohort analysis to improve engagement, retention, and speed to value across lifecycle stages."
Treering Yearbooks,[email][content],"- Implemented A/B tests on subject lines, send times, and content, with top-performing campaigns reaching 34% reply rates."
Treering Yearbooks,[ops],"- Implemented Outreach as the engagement platform and served as platform lead, integrating with Salesforce, standardizing cadences and personalization, and prioritizing adoption through hands-on training"
Treering Yearbooks,[email],"- Implemented Outreach, standardized reporting, and troubleshooting to remove friction from daily prospecting"
Treering Yearbooks,[ops],"- Implemented a unique, data-focused role to uncover untapped revenue. Single-handedly established processes, metrics, reports, and dashboards that resulted in the identification of $3M+."
Treering Yearbooks,[generalist],"- Implemented pre-send QA (device, dark-mode, inbox rendering) that pushed deliverability to 98%+ and cut post-send fixes 35%."
Treering Yearbooks,[ops][mgmt],"- Implemented systematic account management processes that tracked key data points across 200+ active tasks, improving efficiency."
Treering Yearbooks,[generalist],"- Improved AE handoffs (clear notes, next steps, context) to increase meeting show rates and later-stage momentum"
Treering Yearbooks,[ops],"- Improved CRM data tracking in Salesforce and Outreach.io, strengthening pipeline workflows and boosting prospect engagement."
Treering Yearbooks,[ops][mgmt],"- Improved overall sales team productivity by 40% through streamlined workflows and automated reporting, directly contributing to a 25% increase in pipeline velocity."
Treering Yearbooks,[ops][mgmt],"- Improved team pipeline quality by 35% through advanced CRM workflows and targeted campaign optimization, contributing to consistent quota attainment."
Treering Yearbooks,[ops],"- Improved workflows between Outreach and Salesforce, reducing friction and increasing reliability in campaign execution."
Treering Yearbooks,[content],"- Incorporated precise timelines, audience segmentation, dynamic personalized content, and comprehensive QA and approval processes into project planning to ensure flawless execution."
Treering Yearbooks,[ops][mgmt],"- Initiated and analyzed team-wide feedback surveys, translating qualitative and quantitative data from 13+ team members into actionable improvements for product messaging and positioning."
Treering Yearbooks,[brand][mgmt],- Initiated new processes and established brand voice as one of two founding members of the Sales Development team.
Treering Yearbooks,[email],- Innovated district-level outreach strategies to win multi-school deals and streamline RFP processes.
Treering Yearbooks,[ops][mgmt],"- Instituted systematic account management processes, tracking 15 key data points per account across 206 active tasks."
Treering Yearbooks,[email],"- Instrumented KPI dashboards to monitor outreach effectiveness, persona conversion, and email engagement trends."
Treering Yearbooks,[email][ops],"- Integrated Salesforce and Outreach to reduce friction, improve segmentation, and increase reply rates."
Treering Yearbooks,[ops][design],"- Integrated Salesforce and Outreach to streamline segmentation and increase pipeline visibility — uncovering $3M+ in hidden opportunities through cleanup, field mapping, and dashboard design."
Treering Yearbooks,[enablement],"- Integrated confidential feedback into communications, operational planning, and strategic enablement."
Treering Yearbooks,[ops],- Integrated feedback loops between Outreach and Salesforce to reduce friction and improve segmentation workflows.
Treering Yearbooks,[writing],"- Integrated stakeholder feedback into high-performing campaign copy across multiple channels, ensuring message consistency and stakeholder satisfaction."
Treering Yearbooks,[mgmt],- Integrated stakeholder feedback to refine messaging and streamline campaign execution across teams.
Treering Yearbooks,[content],- Introduced AI (ChatGPT/Grammarly) into the campaign workflow to scale personalization and accelerate content development.
Treering Yearbooks,[mgmt],"- Joined immediately after the Series B in 2015 via Inside Sales Team and was hired in-house in 2016, managing a full outbound book of business while building a customer reference program across 2,000+ accounts that contributed $1M+ in sourced revenue"
Treering Yearbooks,[email],"- Launched A/B-tested email sequences across unique customer segments, doubling lead-to-meeting conversion in under 60 days."
Treering Yearbooks,[content][brand],"- Launched a cross-functional Content Committee to unify voice, align tone, and reduce content inconsistencies by 15%."
Treering Yearbooks,[email],- Launched access-first campaigns that ensured every student received a yearbook regardless of their school’s budget.
Treering Yearbooks,[email],- Launched access-first campaigns that ensured students received a yearbook regardless of school budget.
Treering Yearbooks,[ops],- Launched lifecycle campaigns to expand equitable access and reactivate $3M+ in dormant accounts through CRM analysis.
Treering Yearbooks,[generalist],"- Lead Triage: Handled occasional inbound overlaps, PTO/support leads, and re-qualified cold AE leads; passed to AEs with full context to speed closing"
Treering Yearbooks,[content],"- Led A/B and multivariate testing across subject lines, content formats, send times, and audience cohorts"
Treering Yearbooks,[ops],"- Led CRM audit that uncovered $3M+ in hidden pipeline; created reports, dashboards, and workflows for more accurate targeting."
Treering Yearbooks,[ops],"- Led CRM audit that uncovered $3M+ in pipeline; cleaned records, refined filters, and built dashboards to drive actionable insights."
Treering Yearbooks,[ops],"- Led CRM audit that uncovered $3M+ in pipeline; cleaned records, refined filters, and built dashboards to drive insights."
Treering Yearbooks,[ops],"- Led CRM audit uncovering $3M+ in pipeline opportunity; restructured filters, dashboards, and reporting flows."
Treering Yearbooks,[ops],- Led CRM audit using advanced Salesforce queries and validation filters; uncovered $3M+ in dormant pipeline by identifying miscategorized records and orphaned opportunities
Treering Yearbooks,[ops],"- Led CRM upkeep across a 2,000+ account portfolio, including user-level QA, territory assignments, quote creation, and implementation tracking; Salesforce experience transferable to tools like Zoho"
Treering Yearbooks,[content][mgmt],"- Led GTM content strategy for a district-level outreach program that opened partnership opportunities with councils overseeing 1,200+ schools, providing the sales team access to a new high-value market segment."
Treering Yearbooks,[content][mgmt],"- Led Go-to-Market content strategy for district-level outreach program that opened partnership opportunities with councils overseeing 1,200+ schools, providing sales team access to high-value market segments."
Treering Yearbooks,[content],"- Led Go-to-Market content strategy opening partnership opportunities with councils overseeing 1,200+ schools, providing access to high-value market segments."
Treering Yearbooks,[ops][content],"- Led Treering Yearbook's Content Committee, owning campaign planning, QA, and messaging for CRM and social outreach."
Treering Yearbooks,[ops][content],"- Led a CRM-focused audit that surfaced $3M+ in untapped pipeline, revealing miscategorized records and outdated outreach assets while building clearer reporting dashboards."
Treering Yearbooks,[ops],"- Led a comprehensive Salesforce audit and data integrity project, cleansing and restructuring the database of 2,000+ accounts to uncover and reactivate $3M+ in dormant pipeline opportunities."
Treering Yearbooks,[mgmt][enablement],"- Led a remote team of 4-6, increasing productivity through strategic coaching and process improvements. Conducted weekly one-on-ones to review KPIs and goals. Performed monthly training for 20+ employees to enhance development and technical skills."
Treering Yearbooks,[mgmt][enablement],"- Led a remote team of 4–6, increasing productivity through strategic coaching and workflow improvements; provided monthly training for 20+ employees"
Treering Yearbooks,[email],"- Led a targeted campaign that resulted in a statewide promotion with the Georgia PTA, expanding reach to 1,279 school PTA units."
Treering Yearbooks,[email],"- Led access-first campaigns ensuring every student, regardless of school budget, received a yearbook and a sense of belonging."
Treering Yearbooks,[ops][mgmt],"- Led company-wide adoption of Outreach.io, owning CRM integration, reporting dashboards, and team training."
Treering Yearbooks,[ops],- Led comprehensive CRM audit that surfaced $3M+ in untapped pipeline by identifying miscategorized records.
Treering Yearbooks,[content][enablement],"- Led comprehensive overhaul of sales enablement content library, organizing and tagging all assets for optimal usability, performance tracking, and lifecycle stage alignment."
Treering Yearbooks,[brand],"- Led creative direction, helping reestablish the company’s look and feel — a visual identity still in use 10+ years later."
Treering Yearbooks,[content],- Led cross-department Content Committee to accelerate content review cycles and unify messaging across 100+ assets.
Treering Yearbooks,[generalist],"- Led cross-functional performance reviews, identifying platform improvement opportunities based on user engagement patterns."
Treering Yearbooks,[email],"- Led cross-functional planning and execution of email nurture sequences, ensuring timely, targeted outreach across segments."
Treering Yearbooks,[email],"- Led full-cycle email marketing campaigns — from strategy and planning to QA, testing, and deployment — driving customer engagement, retention, and conversion growth"
Treering Yearbooks,[content],"- Led full-funnel email campaigns from segmentation through send, optimizing content to increase open and click rates."
Treering Yearbooks,[email],"- Led go-to-market campaigns and cross-sell initiatives, driving strong adoption of new features and partner programs."
Treering Yearbooks,[email],"- Led go-to-market campaigns and cross-sell initiatives, resulting in increased adoption of new features and expanded engagement."
Treering Yearbooks,[content],- Led internal content QA processes to ensure consistency across touchpoints and campaign types.
Treering Yearbooks,[ops],"- Led internal demos of Outreach and Salesforce and served as a backup for Treering software demos, closing 100% of the time."
Treering Yearbooks,[ops][enablement],"- Led internal enablement sessions focused on outreach best practices, pipeline hygiene, and sales strategy."
Treering Yearbooks,[ops][enablement],"- Led internal sales enablement and training focused on CRM best practices, pipeline management, and advanced sales strategy."
Treering Yearbooks,[ops][enablement],"- Led internal sales enablement and training sessions focused on CRM best practices, pipeline management, and sales strategy."
Treering Yearbooks,[ops],"- Led internal training sessions on lifecycle marketing, customer engagement tactics, and CRM best practices."
Treering Yearbooks,[mgmt],"- Led monthly training workshops for 20+ person team on communication best practices, contributing to 72% close rates."
Treering Yearbooks,[email],"- Led multi-channel outreach campaigns targeting educator, district, and parent personas — driving scalable engagement across email, social, and direct contact channels in alignment with campaign goals."
Treering Yearbooks,[design][email],"- Led multi-channel outreach to educators, districts, and parents and produced branded pitch decks/slide kits for conference and webinar campaigns, improving clarity, visual storytelling, and conversion across email, social, and direct channels."
Treering Yearbooks,[email],"- Led outreach programs targeting district councils and education groups, including facilitating a promotion with the Georgia PTA which oversees 1,279 school PTA units statewide."
Treering Yearbooks,[mgmt],"- Led platform adoption initiatives, training 20+ team members on automation logic and sequence management while developing comprehensive documentation systems."
Treering Yearbooks,[ops],"- Led rollout and adoption of Outreach.io, integrating it with Salesforce to streamline outbound operations."
Treering Yearbooks,[ops][mgmt],"- Led selection and implementation of Outreach.io, managing CRM integration and team-wide adoption."
Treering Yearbooks,[email],"- Led targeted outreach for school districts and PTA councils, including a statewide promotion with the Georgia PTA (1,279 units)."
Treering Yearbooks,[email][mgmt],"- Led team email performance that consistently outperformed industry benchmarks, with average open rates of 45%+."
Treering Yearbooks,[email][mgmt],"- Led team performance by consistently outperforming industry benchmarks, with average open rates exceeding 45%."
Treering Yearbooks,[email][ops],"- Led team to outperform industry benchmarks with average open rates exceeding 45%, utilizing data-driven insights to adjust tactics."
Treering Yearbooks,[ops],"- Led the development of lifecycle campaigns across Salesforce and Outreach.io featuring automated personalization, improving conversion and customer retention."
Treering Yearbooks,[generalist],- Led the launch of streamlined customer journeys that proactively addressed churn risks and drove repeat purchases.
Treering Yearbooks,[content][enablement],"- Led tone and content strategy overhaul for sales enablement library, aligning assets to teacher-facing funnels and lifecycle stage."
Treering Yearbooks,[mgmt],"- Leveraged experience leading a 4-6 person SDR team to mentor junior reps and model best practices, contributing to a culture of high performance that produced team-wide close rates as high as 72%."
Treering Yearbooks,[generalist],- Maintained 98% deliverability rate by enforcing rigorous QA processes while ensuring compliance with spam regulations.
Treering Yearbooks,[generalist],- Maintained 98% deliverability rate by implementing rigorous QA processes and adhering to spam compliance best practices.
Treering Yearbooks,[generalist],"- Maintained 98% deliverability rate through comprehensive QA processes, testing, and strict adherence to spam compliance standards."
Treering Yearbooks,[generalist],"- Maintained 98% deliverability rate through rigorous QA processes, device testing, and spam compliance."
Treering Yearbooks,[ops],"- Maintained Salesforce pipeline for $20M portfolio, ensuring accurate forecasting, opportunity tracking, and pipeline health reviews."
Treering Yearbooks,[ops][mgmt],"- Maintained Salesforce pipelines to ensure accurate forecasting, lead tracking, and opportunity management."
Treering Yearbooks,[generalist],"- Maintained a portfolio of 2,000+ prospective accounts through audience research, segmentation, and customized variable logic."
Treering Yearbooks,[ops],"- Maintained and optimized Salesforce pipelines, ensuring accurate forecasting, opportunity tracking, and pipeline health reviews."
Treering Yearbooks,[content],"- Maintained and optimized content calendars across campaigns and lifecycle stages, improving clarity, alignment, and engagement through consistent voice and strategic pacing."
Treering Yearbooks,[ops],"- Maintained clean CRM data, performed QA on campaign logic, audience flow accuracy, and trigger timing across Salesforce and Outreach.io platforms"
Treering Yearbooks,[enablement],"- Maintained direct ownership of a $20M, 2,932-account portfolio to stay grounded in front-line rep challenges and inform enablement strategy with real-world customer insights."
Treering Yearbooks,[ops],"- Maintained hygiene dashboards (no-next-step, stale opps, disqualify reasons) to protect meeting quality and momentum"
Treering Yearbooks,[mgmt],- Managed $20M portfolio achieving 2.98% engagement rate (3x industry standard) and 65%+ closing rate through systematic prospect evaluation.
Treering Yearbooks,[mgmt],"- Managed $20M portfolio of 2,900+ accounts, achieving 2.98% positive engagement rate (3x industry standard) through advanced audience segmentation and personalized frameworks"
Treering Yearbooks,[mgmt],"- Managed $20M portfolio spanning 2,932 accounts and improved engagement rates to 2.98%, almost triple the industry standard."
Treering Yearbooks,[ops][mgmt],"- Managed $20M sales territory with a focused email strategy, achieving a 2.98% engagement rate that tripled the industry standard."
Treering Yearbooks,[email][ops],"- Managed Salesforce reporting and dashboards, translating KPIs (open rate, CTR, response rate) into actionable insights."
Treering Yearbooks,[ops][mgmt],"- Managed a $20M sales territory of 2,932 accounts, achieving a 2.98% engagement rate — nearly triple the industry standard of 1%."
Treering Yearbooks,[mgmt][ops],"- Managed a $20M sales territory of 2,932 accounts, exceeding first-year quota by 17% and becoming the first SDR in company history to surpass the $1M sourced revenue milestone."
Treering Yearbooks,[mgmt][enablement],"- Managed a 12-person SDR team, coaching outreach tactics and driving high-volume prospecting for SaaS and EdTech clients."
Treering Yearbooks,[mgmt],"- Managed a 2,000+ account portfolio through segmented nurture tracks, reactivation flows, and automated campaigns."
Treering Yearbooks,[mgmt],"- Managed a 4–6 person team; led 1:1s, performance reviews, and leadership meetings while maintaining a full IC workload."
Treering Yearbooks,[mgmt],"- Managed a portfolio of 2,000+ accounts using audience segmentation and persona-driven outreach."
Treering Yearbooks,[mgmt],"- Managed a portfolio of 2,000+ accounts using segmentation, behavioral targeting, and customized variable logic to improve lead quality and conversion."
Treering Yearbooks,[mgmt],"- Managed a portfolio of 2,000+ accounts with high-volume, high-integrity outreach strategy."
Treering Yearbooks,[mgmt][enablement],"- Managed a remote 4–6 person SDR team with full performance accountability, including weekly 1:1s, monthly strategy reviews, KPI coaching, personal development planning, and annual evaluations, fostering a culture of experimentation and learning."
Treering Yearbooks,[mgmt],"- Managed a remote team of 4-6 SDR reps and maintained up-to-date records and messaging for a 2,000+ account portfolio."
Treering Yearbooks,[mgmt],"- Managed a remote team of 4-6 SDRs, providing strategic campaign support, A/B testing insights, and daily troubleshooting."
Treering Yearbooks,[mgmt],"- Managed a remote team of 4-6, providing training and strategic guidance while fostering a collaborative environment that boosted productivity and innovation"
Treering Yearbooks,[mgmt],"- Managed a remote team of 4–6 SDRs, providing campaign strategy support and daily ops troubleshooting."
Treering Yearbooks,[mgmt],"- Managed a remote team of 4–6 SDRs, providing campaign strategy support, A/B testing insights, and daily ops troubleshooting."
Treering Yearbooks,[mgmt],"- Managed a remote team of 4–6 SDRs, providing campaign strategy support, engagement insights, and daily ops troubleshooting."
Treering Yearbooks,[mgmt][enablement],"- Managed a remote team of 4–6 SDRs, supporting campaign execution and troubleshooting through regular consultative coaching."
Treering Yearbooks,[mgmt][enablement],"- Managed a remote team of 4–6 while overseeing 2,000+ accounts; led coaching, reviews, timesheets, and team training for 20+ staff."
Treering Yearbooks,[mgmt],"- Managed a remote team of 4–6 while overseeing a portfolio of 2,000+ accounts, leading 1:1s, performance reviews, and skills training."
Treering Yearbooks,[mgmt],"- Managed and mentored a remote team of 4–6 SDRs, providing weekly 1:1s, campaign support, and technical troubleshooting."
Treering Yearbooks,[mgmt],"- Managed complex multi-stakeholder projects with competing priorities, aligning timelines, messaging, and campaign objectives"
