Claim / Finding,Verification Status,Source File,Evidence / Detail,Metric(s),Confidence,Use in Resume?,Use in Portfolio?,Next Follow-Up
"Morgan built a 2,025-account SDR re-entry plan in 2023, segmenting accounts into four action paths with distinct next-step logic.",Verified,2023 _ Getting Back on the Bike.xlsx (TR-0482),"Workbook summary directly totals 2,025 accounts and breaks them into Bad Fit, In Contract, Follow-Ups, and Restart + Research, each with action guidance; report headers show the exports were generated by Morgan Escott.","2,025 accounts total; Bad Fit 395; In Contract 78; Follow-Ups 130; Restart + Research 1,422",High,Yes,Yes,Resume-safe as a territory/account segmentation claim; strongest wording emphasizes re-entry planning and operational prioritization rather than outcomes not shown here.
"Morgan’s Summer 2019 local-school outreach log records 77.3 driving miles, 62 schools contacted, and 7 “yes” responses; the worksheet separately lists 7 named school visit stops across June 17–19.",Verified — use precise wording,Miles for Local Schools - Morgan.xlsx (TR-0485),Mileage log directly totals 77.3 miles and records 62 schools contacted plus 7 schools who said yes. The visible trip rows name 7 specific school stops; the file does not prove that all 62 contacted schools were physically visited.,77.3 miles; 62 schools contacted; 7 yeses; 7/62 = 11.3% yes rate; 7 named school visit stops,High,Maybe,Yes,Do not phrase as “visited 62 schools.” Safe phrasing: “logged 77.3 miles of local school outreach tied to 62 schools contacted and 7 yes responses.” Strong interview/portfolio proof of above-and-beyond field initiative.
"Morgan maintained a 22–23 pod performance dashboard tracking five direct reports across activity, engagement, responsiveness, and meetings-held outcomes.",Verified,22-23 So Far_.docx (TR-0651),"Document lists SDR pod averages plus separate performance blocks for Tevis, Jamie, Julie, Erin, and Ayesha, including prospects contacted, emails delivered, calls, response time, unsubscribe rate, open/reply/click rates, call connect rate, prospects invited, meetings booked, meetings held, and meetings-held rate.","5 direct reports tracked; pod averages: 9.1% reply, 72.5% open, 10.6% call connect, 87.8% meetings-held rate, 3h 45m average response time",High,Yes,Yes,"Strong resume-safe leadership claim when framed as data-driven pod management / performance dashboarding. Keep metrics explicitly pod-level, not Morgan-only."
"Morgan used multi-year quantitative direct-report review materials to assess performance across opportunity creation, revenue, close rate, and outreach activity history.",Verified — use carefully,Erin.docx (TR-0462),"Draft performance review material compiles one direct report’s results across 2020–2023, including opportunity counts/value, annual and total revenue, closed-won rate, outreach delivery/open/click/reply rates, and call volume.","56 opps created; $296,725 opp value; $200,858.89 overall revenue; 35 closed-won opportunities; 62.5% C/W rate",High,"Maybe — as management-review rigor, not as Morgan-owned revenue",Yes,Best used to prove performance-review discipline and quantitative people management. Avoid external phrasing that implies Morgan personally generated or directly owns the direct report’s revenue totals.
"Morgan tracked $590,343 in cumulative opportunity value across 2016–2019, including $480,483 in 2017–2018 and $84,363 in 2016–2017.",Verified,Morgan_s Opps.xlsx (TR-0626),"Workbook summary directly lists 2016–2017 Opportunity Total $84,363; 2017–2018 Opportunity Total $480,483; 2018–2019 Opportunity Total $25,497; Total Opportunity Value $590,343. The workbook also contains school-by-school opportunity entries, providing granular attribution.","$84,363 (2016–17); $480,483 (2017–18); $25,497 (2018–19 partial); $590,343 total opportunity value; 4% bonus amount shown as $3,613.72",High,"Yes, with precise wording",Yes,"Phrase as opportunity value / pipeline generation, not closed-won revenue. Prefer later revenue-specific sources for realized revenue claims."
"The Aug.–Oct. 2019 Sales Peak post-mortem records $1.762M in closed-won likely revenue against a $1.847M goal (95.4% attainment), but the figure should be treated as Sales Peak / team-context evidence, not a Morgan-only revenue claim.",Verified — contextual / not Morgan-only,Morgan_s Copy -- After Action Review (Post-Mortem).docx (TR-0652),"The document header states: Event = “Sales Peak”; Time Period = August 2019 to October 2019; Goal = close win $1.847M in likely revenue generated; Outcome = closed won $1.762M in likely revenue generated. The document is titled “Sales Team - After Action Review (Post-Mortem)” and includes both “My notes” and “Team Notes,” so the metric is best treated as peak-period/team context.",$1.762M outcome vs. $1.847M goal; approximately 95.4% attainment,High,No as a Morgan-only revenue bullet; maybe as context,Yes,Use in portfolio/interview context to frame performance-under-pressure and the Sales Peak environment. Do not phrase as “Morgan generated $1.762M” unless a separate Morgan-specific source is found.
"Morgan’s Year to Year tracker documents $1.506M in cumulative opportunity value and $874.6K in likely revenue across Years 1–4, with year-by-year opportunity/revenue pairings.",Verified,Year to Year (1-4).xlsx (TR-0285),"Workbook directly lists Morgan's Opps Created and Likely Rev for Years 1–4, plus all-time totals. This supports the README's detailed year-by-year opps/revenue line, not just the separate headline revenue claims.","Opps: Y1 $521,753; Y2 $490,647; Y3 $461,790; Y4 $32,678; all-time $1,506,868. Likely revenue: Y1 $179,651; Y2 $273,631; Y3 $382,155; Y4 $39,185.63; all-time $874,622.63.",High,"Yes, selectively",Yes,Use existing cleaner headline rows for résumé bullets when possible; this is the detailed backing table for year-by-year opps/revenue.
"A Morgan-attributed Persist prospect export/search view in the 05.14.26 batch documents a 6,186-record outbound prospect set.",Verified — primary source export + screenshot corroboration,Persist_ProspectExport (TR-0767); Screen Shot 2025-07-07 at 7.28.03 PM.png (TR-0771),"The Persist_ProspectExport sheet contains 6,187 rows including its header, indicating 6,186 data records. A companion Persist screenshot shows a 6,186-prospect search result count in Morgan's view. The export also preserves field-rich contact/account segmentation structure.","6,186 prospect records",High,Maybe,Yes,Use as data-environment scale / tool-fluency evidence. Do not frame as closed-won revenue or as proof Morgan manually created every record without stronger corroboration.
"A Morgan-attributed Persist Outbox screenshot in the 05.14.26 batch shows a 26,151-item Outbox view.",Verified — screenshot-specific workflow-context metric,Screen Shot 2025-07-07 at 7.27.45 PM.png (TR-0771),"The Persist Outbox screenshot reads “1–50 of 26151” while displaying Morgan’s Persist environment and outbound message context. This supports workflow-scale / platform-environment context only; it does not establish that Morgan sent 26,151 emails or contacted 26,151 prospects.","26,151-item Outbox view",High,No,Yes,"Use only as platform-scale / process-context corroboration alongside TR-0767 and TR-0771. Do not present as outbound volume, sent-email count, or a business outcome."
A Morgan-view Salesforce CRM audit dashboard in the 05.14.26 batch documents 45 accounts scrubbed and $189K in potential value within an inactive-owner cleanup effort.,Verified — screenshot-specific dashboard metric,CRMAuditRoleDashboard.png (TR-0772),"The Salesforce dashboard screenshot is labeled “Viewing as Morgan Escott” and shows “Accounts Scrubbed 45” plus “Potential Value $189K” in the inactive-owner cleanup context. Treat this as dashboard-state evidence for that cleanup/reporting effort, not as a standalone closed-won revenue claim.",45 accounts scrubbed; $189K potential value,High,Maybe,Yes,Excellent corroboration for CRM audit / reporting-value claims. Use carefully and keep the dashboard context attached.
17–18 HZ Follow-Ups PST (April) achieved 77% open and 38% reply across 13 contacted prospects.,Verified — screenshot metric / small segment,Persist Backups / HZ screenshot batch — Screen Shot 2019-06-21 at 10.32.26 AM (TR-0752),"Extracted Screenshot Metrics logs the campaign as 17–18 HZ Follow-Ups PST (April): 13 contacted, 13 reached, 10 opened, 5 replied.",13 contacted; 100% reached; 77% open; 38% reply,High,Maybe — small sample,Yes,"Use as a strong but small-segment campaign proof point, not as a headline-scale benchmark."
"A Morgan-view Salesforce report in the 05.14.26 screenshot batch identifies 795 workable schools not touched in 23-24, representing 6,683,860.20 in total estimated value.",Verified — screenshot-specific Salesforce report metric,Screen Shot 2024-01-16 at 3.29.36 PM.png (TR-0775),"The report titled Workable Schools Not Touched in 23-24 shows 795 total records, 6,683,860.20 total estimated value, 8,407.37 average estimated value, 206 unique districts, 201 unique counties, 40 states/provinces, 519 Hot Zone schools, and 69 private schools. Treat this as a quantified untouched-opportunity reporting finding, not realized revenue.","795 records; 6,683,860.20 total estimated value; 8,407.37 average EV; 206 districts; 201 counties; 40 states/provinces; 519 Hot Zone schools; 69 private schools",High,Maybe,Yes,Strong corroboration for report-driven opportunity discovery and CRM coverage-gap analysis. External wording should preserve the estimated-value / untouched-schools context.
"A Desktop ScreenshotArchive campaign-reporting screenshot filtered to Morgan Escott shows multiple Morgan-authored outbound campaigns with strong visible reply performance, including 505 prospects / 94 replies (21%), 186 / 79 (47%), 185 / 59 (34%), and 105 / 50 (53%).",Verified — screenshot-specific historical campaign metrics,File-Screen Shot 2021-04-14 at 12.32.03 PM.png (TR-0776),"The screenshot shows a campaign reporting view for Morgan Escott with several campaign rows clearly aligned to prospect and reply counts. The first four cleanly legible examples are: 18-19 Private School Principals, 1st Touch — 505 prospects / 94 replies (21%); Dem HS Intro Campaign — 186 / 79 (47%); 17-18 HZ Re-Connect Campaign (June/July) — 185 / 59 (34%); 17-18 Dem HS Intro (Late Start) — 105 / 50 (53%).",505 / 94 replies (21%); 186 / 79 (47%); 185 / 59 (34%); 105 / 50 (53%),High,Yes,Yes,Use the first four cleanly aligned rows as the safest external metrics. Additional lower-row campaign percentages are promising but should be visually rechecked before headline use.
"18–19 ENGAGED, Feb Clean-Up achieved 87% open and 27% reply across 30 contacted prospects.",Verified — screenshot metric / engaged segment,Persist Backups / Engaged screenshot batch — Screen Shot 2019-06-21 at 9.45.11 AM; 9.45.16 AM,"Extracted Screenshot Metrics logs the engaged clean-up campaign at 30 contacted, 30 reached, 26 opened, and 8 replied.",30 contacted; 100% reached; 87% open; 27% reply,High,Maybe — engaged cleanup context,Yes,Do not present as cold outbound; strongest as engaged-prospect follow-up evidence.
"Morgan’s pod outperformed Nov. 2022 team averages on reply rate, call connect rate, and meetings-held rate.",Verified,Untitled document(13).docx (TR-0402),"Nov. 28, 2022 pod notes state: pod reply rate 2.8% vs. 2.6% team average; call connect rate 14% vs. 8% team average; meetings-held rate 91.7% vs. 88.4% team average. Notes also record a 2.4% unsubscribe rate.",Reply: 2.8% vs. 2.6%; call connect: 14% vs. 8%; meetings held: 91.7% vs. 88.4%; unsubscribes: 2.4%,High,"Yes, with pod-level framing",Yes,"Use as Morgan's pod-management performance benchmark, not Morgan-only individual output."
"Morgan’s June 2023 account list covered 2,263 accounts with $15.13M in estimated value, including 607 private, 947 Hot Zone, and 630 Title 1 accounts.",Verified,Untitled spreadsheet(7).xlsx (TR-0413),"Workbook summary directly lists Account List of 6/8/2023: 2,263 accounts, $15,129,405 estimated value, 607 private, 947 Hot Zone, 630 Title 1. It also separately lists a 22–23 potential account list of 1,173 accounts valued at $8,572,135.","2,263 accounts; $15,129,405 estimated value; 607 private; 947 Hot Zone; 630 Title 1; 1,173 potential 22–23 accounts / $8,572,135",High,Yes,Yes,"Phrase as account-list / territory-book scope and valuation, not realized revenue."
"The broader Hot Zones Master List tracked $29.25M in total HZ territory value; Morgan-owned districts within it included Wake, Cobb, Fulton, Prince William, and Gwinnett.",Verified — contextual / not Morgan-only,Copy of Hot Zones Master List.xlsx (TR-0117),"The workbook header totals $29,251,188 in estimated Hot Zone territory value. The owner column includes both Morgan and Jen; Morgan-owned high-value districts shown include Wake County ($1.3M), Cobb County ($789K), Fulton County ($689K), Prince William County ($653K), and Gwinnett County ($390K).","$29,251,188 total HZ territory value; Morgan-owned examples: Wake $1.3M, Cobb $789K, Fulton $689K, Prince William $653K, Gwinnett $390K",High,Maybe — only with program/team context,Yes,Do not describe $29.25M as Morgan's individual territory total; it is a broader Hot Zones master-list value.
"Morgan's Persist platform campaign export documents PTA and Wake event campaign metrics including prospects, leads, opens, and replies across multiple outbound campaigns.",Verified — primary source raw export,"20260502194849 (Persist_CampaignExport, TR-0768)","Multi-row raw Persist campaign export capturing campaign-level fields: prospects, leads generated, unsubscribed, bounced, emails sent, opened, clicked, replied. Sample rows include Event - PTA Show, Wake Event, Responded Previously, and Do Business w/Treering campaigns. This is the raw analytics infrastructure behind Morgan's campaign performance reporting.",Campaign-level analytics fields preserved for PTA/Wake event outreach segments; rates pending reconciliation against screenshot-derived metrics,High,Maybe,Yes,Reconcile campaign counts against existing screenshot-derived PTA event metrics before external use. Strongest as analytics-fluency and campaign-architecture corroboration alongside TR-0767.
A batch of four Wake County PTA event Persist campaign scorecards shows 11–26 contacts per segment with open rates of 77–100% across individual campaign audience slices.,Verified — screenshot-specific scorecard metrics / small samples,Screen Shot 2025-07-07 at 7.47.55 PM.png + 3 companion screenshots (TR-0769),Four compact Persist campaign scorecards for Wake County PTA event subsegments: Customers (11 contacted / 10 opened / 1 replied); PTA Not Involved But Email? (26 contacted / 20 opened / 3 replied / 1 bounce); Principals New Schools (7 contacted / 2 opened / 1 replied); Responded Previously (3 contacted / 3 opened / 1 replied). Small-sample proof points for district-specific PTA segmentation and campaign logic.,Customers 11c/10o/1r; PTA Not Involved 26c/20o/3r; Principals New Schools 7c/2o/1r; Responded Previously 3c/3o/1r,Medium,No — small samples,Yes,Use as portfolio context for Wake County territory depth and PTA campaign segmentation approach. Keep sample-size caveats prominent. Not a headline resume metric.
"The raw source architecture cluster for Morgan's SDR workflow process map documents six structured workflow stages: Receive Accounts, Identify Contacts, Who To Contact, Select Sequence, Outbound Sequences, and Scrub.",Verified — primary source architecture cluster,"SDR Workflow / ProcessMap raw source cluster, MindNode source files (TR-0770)",This 05.14.26 source cluster is the working architecture behind the already-tracked SDR Process Map / onboarding infrastructure. The visible substructure covers six workflow stages from account intake through scrubbing. Treat as source-strengthening evidence for the existing Process Map claim rather than a new standalone accomplishment.,Six-stage workflow architecture: Receive Accounts → Identify Contacts → Who To Contact → Select Sequence → Outbound Sequences → Scrub,High,Maybe,Yes,"Use as primary-source corroboration for SDR Process Map / onboarding-system claims already tracked. Confirms Morgan built the structural architecture, not just the visible website content."
"A cluster of Salesforce report-system screenshots documents Morgan's multi-category reporting architecture spanning fixes, research, inbound, current customer, in-contract, progress, and follow-up workflows, with organized report folders and a team reporting dashboard.",Verified — primary source screenshot cluster,TeamReportSystem.png + ReportSystem + Views screenshots (TR-0773),"Screenshot cluster shows a structured Salesforce reporting architecture: a team-level reporting dashboard, organized report folders segmented by workflow category, and saved-view/report screenshots covering multiple operational states. Categories include fixes, research, inbound, current customer, in-contract, progress, and follow-up workflows. This is systems/architecture evidence, not direct business-outcome proof.",Multi-category Salesforce report architecture; organized folder structure across 7+ workflow categories; team + individual dashboard layers,High,Maybe,Yes,Use as CRM reporting-infrastructure evidence. Pair with CRM audit dashboard (TR-0772) and TR-0786 transcript (custom SF reports Morgan built and presented live) to build the full Salesforce reporting footprint picture.
"Two Salesforce screenshots from January 2023 document Morgan's team management infrastructure: a 21-member ALL Reps Team view and a recurring Monday Employee Check-In form asking for wellbeing, role clarity, and concerns.",Verified — screenshot-specific team management infrastructure,Screen Shot 2023-01-12 at 12.35.54 PM.png + Screen Shot 2023-01-09 at 11.15.04 AM.png (TR-0774),"Screenshot 1: Morgan's ALL Reps Team Salesforce view showing 21 team members with account/contact context. Screenshot 2: a structured Monday Employee Check-In form with fields for wellbeing, role clarity, and concern updates. Together these document a recurring team-support cadence system Morgan maintained — not a one-off check-in.",21-member ALL Reps Team view; recurring Monday check-in cadence,High,Maybe — with management framing,Yes,"Use as qualitative people-management infrastructure proof. Pair with pod meeting transcripts (TR-0787, TR-0784) and pod performance dashboard (TR-0778) for the full management picture. '21-member' = ALL Reps Team scope — keep context when quoting."
"An Outreach platform screenshot filtered to 'Sequenced By Morgan Escott' shows 6,939 total sequenced prospects, 368 replied, 3,163 opened (58% of 5,423 delivered), and 362 clicked.",Verified — primary source screenshot / Morgan-attributed platform view,File-Screen Shot 2022-01-19 at 2.44.35 PM.png (TR-0777),"The Outreach platform view is filtered to 'Sequenced By Morgan Escott' with exact verified counts: 6,939 total, 368 replied, 6,571 no reply, 5,423 contacted/delivered, 3,163 opened (58% of delivered), 362 clicked, 111 called, 0 opted out. 'Sequenced By Morgan Escott' is the explicit platform attribution label on-screen.","6,939 total sequenced; 368 replied; 5,423 delivered; 3,163 opened (58% of delivered); 362 clicked; 111 called; 0 opted out",High,Yes,Yes,Strong resume-safe claim with Morgan's name in the platform attribution filter. Use 'Sequenced By Morgan Escott' framing — the platform label itself attributes scale. Pair with campaign-level reply rates from TR-0776 for the complete outbound performance picture.
"A September 2021 pod dashboard screenshot shows Morgan's pod generated $176K in likely revenue for all of 21–22, $21K in current-month wins, and 7 open opportunities; the full outbound team had 39 opportunities and $112,858.70 in current-month wins.",Verified — screenshot-specific dashboard metric,File-Screen Shot 2021-09-13 at 11.45.37 AM.png (TR-0778),"Dashboard titled 'Morgan's Pod People / Sales Dev Dash.' OUR POD tiles: 7 opportunities, ~$35K opportunity value, ~$21K outbound wins current month, ~$176K likely revenue all 21–22. ALL OUTBOUND tiles: 39 total opportunities (39%), $112,858.70 wins current month (33%). The pod vs. team scope is clear from separate tile labels. Treat as pod-management evidence, not Morgan-only individual revenue.","Pod: $176K likely revenue all 21–22; $21K wins current month; 7 opps. Team: 39 opps / $112,858.70 wins current month",High,Yes — with pod-management framing,Yes,"Use as people-leadership / pod-revenue framing, not Morgan-individual revenue. 'Led a pod that generated $176K in likely revenue over 21–22' is the accurate external wording."
"A November 2023 saved Salesforce view titled 'My People - YBA (Not Seq)' documents Morgan's persona-aware prospect segmentation logic, filtering on yearbook advisor/teacher/editor titles, open/researched/working status, estimated value over $2,500, and exclusion of already-sequenced or district/PTA contacts.",Verified — primary source / live operational screenshot,Screen Shot 2023-11-09 at 3.05.27 PM.png (TR-0779),"Live saved prospecting view showing Morgan's exact operational targeting filters: Person Account, yearbook advisor/teacher/editor title logic, exclusion of district/PTA/former contacts, not actively sequenced, open/researched/working school status, estimated value > $2,500. Account value context alongside prospects. This is implementation-level segmentation logic operationalized in a saved/shared workflow — not a theoretical process guide.","Persona-aware filter across 6 segmentation dimensions; $2,500+ EV threshold; excludes district/PTA/already-sequenced contacts",High,Maybe,Yes,"Use as CRM operations / systematic coverage-gap management evidence. Strongest as portfolio detail about Morgan's data-driven, persona-aware targeting approach in Salesforce."
"Morgan led a live group training on embedding Vidyard video intros as Outreach HTML variables with tracking tokens, including a bulk content update technique that retroactively refreshes videos in all prior emails via Custom Field 1.",Verified — primary source audio transcript,Vidyard_Intros_as_Outreach_Variables.txt (TR-0780),"Training covers: embedding Vidyard email campaign links as HTML in Outreach Custom Field 1, inserting vy_email tracking token, using bracket variable syntax for video thumbnails, and building snippet backups. Key technique: updating CF1 retroactively updates the video link in ALL prior emails that used the variable — bulk content update without individual edits. Verbatim: 'if I update this link, it will update in all of the emails where I used the variable without having to do additional edits.'",N/A — training content; retroactive bulk video update across all prior emails demonstrated live,High,Maybe — with MarTech/training framing,Yes,Use as advanced MarTech/CRM integration fluency and live training capability proof. The retroactive bulk-update technique is a distinctive operational innovation. Pair with pod meeting transcripts for the full training-leadership picture.
Morgan proactively recorded and sent a self-initiated Salesforce training video for her team on favoriting and customizing dashboards — without being asked — demonstrating both platform fluency and unsolicited team care.,Verified — primary source audio transcript,Favoriting_a_Dashboard_in_Salesforce.txt (TR-0781),"Morgan independently discovered, recorded, and shared a team tip on Salesforce dashboard favoriting: star icon usage, favoriting vs. subscribing distinction, field display customization (gear icon), and drag-to-reorder. Sent to the team unprompted. Verbatim: 'I just wanted to share that little tidbit of information hope everyone has a beautiful day.' Evidence of proactive team enablement independent of formal role obligations.",N/A — proactive training content; 3 dashboards team should track regularly noted,High,Maybe,Yes,Use as self-directed team enablement and proactive communication evidence. Strongest as qualitative proof-deck material for people-leadership behavioral patterns.
"Morgan ran an optional supplemental breakout room session in June 2021, presenting her own custom Salesforce report grouping CW customers by district, teaching Hot Zone strategy, and coaching self-directed learning via Trailhead.",Verified — primary source audio transcript,Optional_Morgan_s_Break_Out_Room_2021-06-17_at.txt (TR-0782),"Morgan voluntarily facilitated a supplemental breakout session. Presented her own Salesforce report: '2021 CW Customers in District' grouped by account name for district/city customer clustering. Explained Hot Zone territory strategy, covered Salesforce navigation, recommended Trailhead for self-learning. Verbatim: 'I've set this up and kind of grouped it together by account name so that when you use this to look at a district or a city and see how many customers are there.' Shows report-building, systems design, and proactive team coaching initiative.",N/A — custom Salesforce CW Customers by District report built and presented; Hot Zone concept taught,High,Maybe,Yes,Use as training facilitation and proactive leadership evidence. Pair with formal pod meeting transcript cluster to show Morgan created supplemental learning opportunities independently of required duties.
"In Content Committee Meeting 3 (January 2021), Morgan chaired the session, proposed a Salesforce/Outreach conditional field architecture for personalization, and drew peer-confirmed validation that her sequences were the team's default quality benchmark.",Verified — primary source audio transcript; peer attribution confirmed on record,First_Content_Committee_Meeting_3_2021-01-26.txt (TR-0783),"Morgan chairs CC meeting 3, expanding governance scope and framing psychological safety. Two key verbatim peer confirmations — Jen: 'I'm putting everyone in free reduced PTA first catch sequences because I know that Morgan wrote those. So that I want everybody to have because I know that's the real good one.' Stacey: 'your warm style of writing to me appeals so much more to also being on brand.' Morgan proposes Salesforce/Outreach conditional field architecture: 'if hot zone field exists, say hot zone paragraph. If title one exists, say title one paragraph.' Context: 40+ active sequences, 13 new hires starting.","40+ active sequences (problem state); 13 new hires onboarding; 4,300 Jen overdue tasks; Jen routes ALL prospects to Morgan's sequences by default",High,Yes,Yes,CRITICAL peer-attribution evidence. Jen's quote ('because I know that Morgan wrote those') is the strongest external validation of Morgan's sequence quality — from a peer colleague on record. Use in resume/portfolio context for sequence quality + thought leadership claims.
"In a private post-meeting segment in September 2023, Bobby explicitly confirmed Morgan's ongoing management role — 'you'll just need to sort of manage Tevez's time as you normally would' — with Tevez confirming the relationship on record.",Verified — primary source audio transcript; manager and direct report both confirm on record,Bobby_MPP_Quick_Meeting_2023-09-15.txt (TR-0784),"In the private post-meeting segment, Bobby states directly: 'you'll just need to sort of manage Tevez's time as you normally would.' Tevez confirms: 'I know Morgan and I have talked about it.' Bobby retains Morgan to discuss RFP/district approval workflow, positioning her as the natural coordinator for new strategic initiatives. Morgan's management role treated as an established baseline, not a new assignment. Meeting also covers Career Dev survey (69/100), Salesforce integration planning, and white-label expansion.",Career Development survey: 69/100; 36 bug items in integration log; ~2K FL schools in Yearbook Life,High,Yes,Yes,"CRITICAL management evidence. Bobby's 'as you normally would' phrasing implies established, ongoing practice. Pair with TR-0787 (group meeting management confirmation, May 2022) for the full two-point manager-confirmation arc spanning 16 months."
"In the February 2022 pod meeting, Morgan tracked and reported team pipeline data (57% of outbound goal), coached multi-threading strategy, advocated upward for her team, and received peer confirmation that her team resource website was 'such a brilliant idea.'",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-02-17_09_14_GMT-8.txt (TR-0785),"Full pod meeting: CC authorship confirmed ('the content committee kind of had to adjust just a little bit on the reply sequence'), ABM/multi-threading coaching ('I've had it happen plenty of times where the principal forwarded me your email'), pipeline tracking ('right now we're at 57 percent of goal for the entire outbound team'), upward feedback routing, and her independently-built team resource website. Peer confirmation: 'it was such a brilliant idea.' Morgan passes team feedback upward to Bobby.",Team pipeline at 57% of outbound goal; 10 ops/month historical benchmark,High,Yes — leadership and CC authorship claims,Yes,"Use for CC authorship, pipeline leadership visibility, and upward advocacy evidence. Peer validation of team website as 'brilliant idea' is strong qualitative leadership proof."
"In the March 2022 pod meeting, Morgan presented three custom Salesforce reports she had already built independently — including conditional highlighting and cross-object filtering — at the same time leadership was still planning to develop similar SDR dashboards.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-03-17_09_15_GMT-7.txt (TR-0786),"Morgan presents three custom SF reports to her pod: (1) Applicable Accounts to Research, (2) Sequenceable Contacts at Workable Schools, (3) Active Prospects per Account with conditional highlighting. Leadership context noted in meeting: 'they want to start creating more reports with the idea that we could put it into an individual SDR dashboard' — Morgan had already built all components independently. Also troubleshoots Outreach platform bug live and files with vendor support. Verbatim: 'In a really sick way, I find it fun... it's like a puzzle I can solve.'",3 custom Salesforce reports built and presented independently before leadership's planned SDR dashboard rollout,High,Yes,Yes,Strong proof of Salesforce expertise ahead of org roadmap. Use for CRM/reporting infrastructure and self-directed initiative claims. Live Outreach troubleshooting + vendor filing shows technical escalation fluency.
"In the May 2022 pod meeting, Bobby explicitly confirmed Morgan's management accountability in front of the full group ('those are all things that she has the responsibility to manage you all on') and named her demo handoff approach as the team standard.",Verified — primary source audio transcript; manager confirmation in group setting on record,MPP_Pod_Meeting_2022-05-19_09_22_GMT-7.txt (TR-0787),"Bobby states in group: 'Morgan has a responsibility... those are all things that she has the responsibility to manage you all on.' Bobby names Morgan's demo standard: 'that's very Morgan asked, right?' Morgan proposes a cross-functional learning program (shadow tough demos, not just easy ones). Gives direct feedback to VP Bobby on meeting format, chat management, and exit-signal friction. Rep confirms 1:1 schedule change: 'Morgan and I just changed our one-on-one time.' Bobby delegates team data-gathering to Morgan.",N/A — management accountability confirmed publicly in group; 1:1 cadence confirmed by direct report; demo standard named,High,Yes,Yes,"CRITICAL management evidence. Bobby's group confirmation is a public, on-record acknowledgment. Pair with TR-0784 (private Sept 2023 confirmation) for a two-point management arc spanning 16 months in different settings."
"In the August 2022 pod meeting, Morgan taught group sequencing ('we could literally catch three people with 20 emails instead of one'), bulk personalization-at-scale via custom field updates, and live Salesforce Maps filtering with hot zone + Title I layers.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-08-18_12_07_GMT-4.txt (TR-0788),"Three-part technical training: (1) Group sequencing — CC 2-3 contacts into one sequence for multi-threaded outreach that 'looks more human as an email'; (2) Personalization at scale — select all Wake County prospects, bulk-add personal note via custom field; (3) Live Salesforce Maps: private layers, hot zone + Title I filters, conditional marker display. Territory strategy: 'I would always work my hot zones first because they just by far got the best responses.' Tech adoption framing: 'I don't want us to get stuck doing things the old way.'","N/A — group sequencing, bulk personalization, Salesforce Maps all demonstrated live; Wake County bulk selection demonstrated",High,Yes,Yes,Group sequencing and bulk personalization at scale are distinctive original outbound techniques. Pair with TR-0794 (March 2023 meeting with variable personalization and conditional if/else coding) for the full original-technique evidence cluster.
"In the September 2022 pod meeting, Morgan managed team continuity through an organizational restructure, shared her own peak-performance color-coded prospect tracking spreadsheet, and distributed a shared Salesforce pod reports folder to preserve institutional knowledge.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-09-15_12_05_GMT-4.txt (TR-0789),"Meeting during team departure + marketing-back-under-sales restructure. Morgan had already been briefed via pod-leads meeting and arrives prepared to stabilize. Actions: vulnerability coaching on calls, shares own historical color-coded prospect tracking spreadsheet from peak performance years, builds and distributes shared Salesforce pod reports folder, protects team time by removing 1:1s for quiet week. Verbatim: 'A Tree Ring never closes, but you're still allowed to close your computer.'",N/A — change management; shared Salesforce pod reports folder built and distributed; color-coded tracking spreadsheet shared,High,Yes,Yes,"Use for change management, institutional knowledge preservation, and team-care evidence. Sharing personal peak-performance tools and building shared reports during org disruption shows proactive leadership under pressure."
"In the October 2022 pod meeting, Morgan ran full live Salesforce report training (clone, filter, conditional highlight, export), stated her pod advocate role explicitly on record, and coached team on pipeline planning two months before peak season.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-10-20_12_07_GMT-4.txt (TR-0790),"Structured meeting with slides + Slack bookmarks bar Morgan built for her pod (playbook, vendor list, blog links). Full Salesforce report training: clone, filter, conditional highlight, export — live demonstration. Advocacy role stated on record: 'our job as pod leaders is to represent you guys.' Served as marketing liaison after restructure. Pipeline strategy coaching in October: 'It's a little early, but not really, it's never too early.' Multi-threading coaching: 'I can't tell you how many times the principal forwarded them an email from someone else.'",N/A — pod advocate role stated on record; Slack resource bar built; pipeline planning begun 2 months pre-peak,High,Yes,Yes,"Pod advocate role stated on record is strong leadership-responsibility confirmation. Use for people leadership, training, and upward-advocacy claims. Salesforce training delivery adds to CRM expertise picture."
