Role / Company,Tags,Bullet Point,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses
Treering Yearbooks,[email][design],"- Developed a high-impact pitch deck for a Georgia PTA council overseeing hundreds of schools, leading to expanded visibility.",60.0,65.0,70.0,50.0,FAIL,"The bullet uses the vague, subjective adjective 'high-impact' and fails to provide a concrete outcome, instead using the generic phrase 'leading to expanded visibility' which is unverifiable and lacks a specific metric."
Treering Yearbooks,[generalist],"- Developed account-based marketing (ABM) messaging for Adobe eSign, resulting in two senior-level nominations.",60.0,65.0,70.0,60.0,FAIL,The bullet fails because 'senior-level nominations' is an unverifiable and vague outcome that does not demonstrate business impact or system ownership. It reads as a task description rather than an outcome-based achievement.
Treering Yearbooks,[email][content],"- Developed and executed outbound email sequences employing dynamic content personalization and advanced audience segmentation, achieving up to 83% open rates and 43% reply rates across a $20M portfolio of 2,900+ B2B accounts.",70.0,65.0,90.0,95.0,FAIL,"The bullet uses the forbidden filler word 'dynamic' and the metrics (83% open rate, 43% reply rate) are statistically implausible for cold outbound email at a 2,900 account scale, triggering a believability penalty."
Treering Yearbooks,[content],"- Developed and executed personalized content strategies using segmentation, dynamic variables, and testing timelines",60.0,65.0,70.0,60.0,FAIL,"The bullet is generic and lacks specific metrics, tools, or outcomes; it reads as a list of marketing buzzwords rather than a concrete achievement."
Treering Yearbooks,[content][email],- Developed and maintained a 40+ asset content library and crafted email campaigns that drove a 43% reply rate — 10x the industry average — directly fueling pipeline growth.,85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[mgmt],"- Developed and managed 62 distinct sales sequences as part of a major GTM campaign, owning 46% of the 37-step project plan from initial strategy to final implementation.",85.0,80.0,85.0,80.0,PASS,
Treering Yearbooks,[ops][content],"- Developed and optimized content-driven outbound campaigns using Salesforce and Outreach.io, applying editorial judgment to ensure messaging accuracy and compliance across diverse educational audiences.",85.0,90.0,90.0,85.0,PASS,
Treering Yearbooks,[brand],"- Developed audience-specific campaign cadences to improve response rates with thoughtful pacing, relevance, and brand alignment.",50.0,60.0,60.0,40.0,FAIL,"The bullet uses vague, subjective language ('thoughtful pacing', 'relevance', 'brand alignment') without providing a single metric, tool, or specific outcome to verify the claim. It reads as a generic task description rather than a high-impact systems statement."
Treering Yearbooks,[content][brand],"- Developed brand-aligned messaging across lifecycle emails, landing pages, social content, and internal collateral.",60.0,70.0,75.0,65.0,FAIL,"The bullet is too generic and lacks specific metrics, tools, or outcomes; it reads as a list of tasks rather than a demonstration of impact or system ownership."
Treering Yearbooks,[design][email],"- Developed branded slide decks and visual assets for reps, execs, and school districts — including a Georgia PTA pitch that expanded reach across hundreds of schools and supported outreach, training, and conference campaigns.",65.0,70.0,60.0,60.0,FAIL,"The bullet uses a dash in prose, which is prohibited by the manager test rules, and the phrase 'supported outreach, training, and conference campaigns' is overly generic and lacks specific outcomes."
Treering Yearbooks,[email],"- Developed campaign dashboards and presented insights to leadership, surfacing optimization opportunities that drove $1M+ in incremental revenue.",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[email],"- Developed campaign kits with A/B testing options and segmented, audience-centric sequences to drive engagement.",65.0,70.0,75.0,60.0,FAIL,"The bullet is too generic and lacks specific metrics, tools, or a defined scope, making it sound like a standard task description rather than a high-impact outcome."
Treering Yearbooks,[ops],"- Developed custom dashboards and reporting mechanisms that identified and capitalized on $3M+ in previously untapped revenue opportunities, underscoring a strategic approach to data and analytics",70.0,65.0,80.0,85.0,FAIL,"The bullet uses the filler phrase 'underscoring a strategic approach to data and analytics' which is generic fluff, and the claim of identifying $3M in untapped revenue is vague without context on the methodology or the specific system used to track it."
Treering Yearbooks,[brand][enablement],"- Developed custom decks, enablement materials, and sales visuals — applying brand voice and dynamic personalization for high converting results.",60.0,65.0,70.0,50.0,FAIL,"Contains a dash in prose, uses the forbidden filler word 'dynamic', and relies on vague superlatives like 'high converting results' without providing a specific metric or context."
Treering Yearbooks,[design][email],- Developed custom slide decks for PTA councils and school districts — including a Georgia PTA pitch that opened partnership opportunities and helped extend Treering's footprint across hundreds of schools.,65.0,70.0,75.0,60.0,FAIL,"The bullet uses the banned phrase 'helped with' and contains a dash in the prose, which violates the strict formatting rules."
Treering Yearbooks,[email],"- Developed district outreach best practices, resulting in improved PTA/district engagement and long-term vendor relationships.",40.0,50.0,50.0,30.0,FAIL,"The bullet uses vague, non-measurable language ('improved', 'best practices'), lacks specific tools or systems, and relies on generic corporate-speak that fails to demonstrate a concrete outcome."
Treering Yearbooks,[design],- Developed district outreach strategy that led to new procurement-focused processes and role design.,65.0,70.0,60.0,55.0,PASS,The bullet is vague regarding the actual outcome; 'new procurement-focused processes' and 'role design' are abstract and lack specific metrics or context to prove the impact of the strategy.
Treering Yearbooks,[email][content],"- Developed executive presentations and branded assets for reps, execs, and school districts — including a Georgia PTA pitch that expanded reach across hundreds of schools statewide and supported outreach, training, and conference campaigns.",65.0,70.0,60.0,65.0,FAIL,"The bullet contains a dash in prose, which violates the strict formatting rules, and the phrasing 'supported outreach, training, and conference campaigns' is overly generic and borders on task-description rather than outcome-focused."
Treering Yearbooks,[email],"- Developed high-performing, year-long email cadences that increased prospect engagement, conversion rates, and customer retention in a competitive market landscape",40.0,50.0,60.0,50.0,FAIL,"The bullet uses forbidden filler words (high-performing), lacks specific metrics or tools, and relies on vague, unverifiable claims about engagement and retention."
Treering Yearbooks,[content],"- Developed journey maps, content calendars, and automation logic models that improved campaign efficiency.",60.0,70.0,75.0,70.0,FAIL,The bullet is too generic and lacks specific metrics or tool names to prove the claim of improved efficiency; it reads as a list of tasks rather than a high-impact outcome.
Treering Yearbooks,[email],"- Developed lifecycle campaigns for 2,000+ accounts, mapping personalized nurture flows by stage, persona, and behavior.",90.0,95.0,95.0,85.0,PASS,
Treering Yearbooks,[ops],"- Developed logic-based nurture sequences using Outreach.io and Salesforce, including A/B testing, persona segmentation, and behavioral triggers.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[email],"- Developed long-term sales strategies for annual and multi-year campaigns, driving growth through recurring partnerships.",40.0,50.0,60.0,40.0,FAIL,"The bullet is overly generic, lacks specific metrics or tools, and uses vague corporate language ('driving growth', 'long-term sales strategies') that could apply to any sales role without providing evidence of actual impact."
Treering Yearbooks,[email],- Developed modular campaign kits with A/B testing options and education-centric sequences tailored by platform.,75.0,80.0,70.0,75.0,PASS,The bullet lacks a specific outcome or scale; it describes the creation of assets but does not explain the impact of those assets on the business or the size of the campaign effort.
Treering Yearbooks,[content],"- Developed modular go-to-market frameworks with educator-specific messaging tracks, conducting systematic A/B testing to optimize content that resonated with teachers' assessment evaluation criteria.",85.0,80.0,85.0,80.0,PASS,
Treering Yearbooks,[generalist],- Developed multi-year sales strategies to expand partnerships and secure recurring deals.,40.0,50.0,60.0,40.0,FAIL,"The bullet is overly generic, lacks specific metrics or tools, and uses vague corporate language that could apply to any sales role without providing evidence of actual impact."
Treering Yearbooks,[brand],"- Developed persona-based email templates and collateral, improving engagement and brand alignment across accounts.",60.0,65.0,70.0,60.0,FAIL,"The bullet is generic, lacks specific metrics or tools, and uses vague outcome language ('improving engagement') without providing evidence or context."
Treering Yearbooks,[email],"- Developed persona-segmented ABM (1:few) plays for large districts, pairing account research with targeted outreach to open net-new councils and expand vendor eligibility across 2,000+ schools.",90.0,95.0,90.0,95.0,PASS,
Treering Yearbooks,[email],"- Developed personalized cadences and ABM-inspired campaigns for enterprise clients, including a pilot program for Adobe eSign.",85.0,90.0,90.0,85.0,PASS,
Treering Yearbooks,[generalist],"- Developed personalized cadences and ABM-inspired strategies for enterprise clients, including a pilot program for Adobe eSign.",85.0,90.0,85.0,80.0,PASS,
Treering Yearbooks,[ops],"- Developed reactivation campaigns that uncovered $3M+ in dormant pipeline, revitalizing relationships with previous customers.",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[mgmt],- Developed scalable email sequences later adopted as foundational templates across a 20+ person team.,85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[ops][mgmt],- Developed segmentation strategies and research methodologies increasing team qualification rates and pipeline quality through data-driven optimization.,50.0,60.0,55.0,60.0,FAIL,"The bullet is overly generic, lacks specific metrics or tools, and relies on buzzwords like 'data-driven optimization' without explaining the actual system or outcome."
Treering Yearbooks,[ops][mgmt],- Developed segmentation strategies and research methodologies that increased team qualification rates and pipeline quality.,60.0,65.0,70.0,60.0,FAIL,The bullet is too generic and lacks specific metrics or tools to verify the claim of increased qualification rates; it reads as a task description rather than a concrete outcome.
Treering Yearbooks,[generalist],"- Developed segmentation strategies based on lead quality, behavior, and attributes to increase response rates and conversion.",65.0,70.0,75.0,60.0,FAIL,"The bullet is generic and lacks specific metrics, tools, or outcomes; it reads as a task description rather than a high-impact achievement."
Treering Yearbooks,[ops],"- Developed segmentation strategy tracking 15+ data points per account, enabling targeting that improved campaign performance.",75.0,80.0,85.0,70.0,PASS,The outcome is vague; 'improved campaign performance' lacks a specific metric or percentage to validate the success of the segmentation strategy.
Treering Yearbooks,[email],- Developed story-driven campaigns that boosted engagement and guided customers through the buying journey.,40.0,50.0,60.0,30.0,FAIL,"The bullet is generic, lacks specific metrics or tools, and uses vague marketing buzzwords like 'story-driven' and 'buying journey' without evidence of the actual system or outcome."
Treering Yearbooks,[email],"- Developed targeted outbound outreach and ABM strategies for enterprise clients, including a pilot program for Adobe eSign.",75.0,80.0,85.0,80.0,PASS,The bullet is slightly generic and lacks a specific outcome or metric to demonstrate the effectiveness of the strategies or the pilot program.
Treering Yearbooks,[email],"- Developed targeted outreach and ABM campaigns for SaaS and EdTech clients, including a pilot for Adobe eSign.",75.0,80.0,85.0,80.0,PASS,"The bullet lacks a specific outcome or metric to demonstrate the effectiveness of the campaigns, making it feel slightly task-oriented rather than results-driven."
Treering Yearbooks,[email],"- Developed targeted outreach campaigns and ABM strategies for enterprise clients, including a pilot program for Adobe eSign.",75.0,80.0,85.0,80.0,PASS,"The bullet is slightly generic; while it mentions a specific pilot program, it lacks a concrete outcome or metric to demonstrate the effectiveness of the ABM strategies."
Treering Yearbooks,[brand][mgmt],"- Developed teamwide cadences tailored to key audience segments, improving email response rates through thoughtful pacing, relevance, and brand voice consistency.",60.0,65.0,70.0,50.0,FAIL,"The bullet fails because it lacks specific metrics, tools, or systems, and relies on vague, subjective claims like 'thoughtful pacing' and 'relevance' without evidence."
Treering Yearbooks,[brand][mgmt],"- Developed teamwide cadences tailored to key audience segments, improving email response rates through thoughtful pacing, segmentation alignment, and clear brand voice standards.",65.0,70.0,75.0,60.0,FAIL,"The bullet fails because it lacks a specific metric to support the claim of 'improving email response rates' and relies on vague, subjective descriptors like 'thoughtful pacing' and 'clear brand voice standards' which are difficult to verify."
Treering Yearbooks,[mgmt],- Developing email sequences that became foundational templates for a 20+ member team.,85.0,90.0,95.0,80.0,FAIL,"The bullet uses the present participle 'Developing' instead of a strong past-tense action verb, which violates the requirement for a strong, specific past-tense opener."
Treering Yearbooks,[email],"- Directed 2,000+ account nurture campaigns using logic-based flows, A/B testing, and behavior triggers, raising reply rates.",75.0,80.0,85.0,80.0,PASS,The claim 'raising reply rates' is vague because it lacks a specific percentage or comparative benchmark to validate the improvement.
Treering Yearbooks,[mgmt][enablement],"- Directed a team of 4–6, implementing weekly 1:1 coaching and monthly workshops to enhance collaboration and development.",70.0,75.0,80.0,60.0,PASS,"The bullet is somewhat generic and focuses on standard management tasks rather than specific, measurable outcomes or unique systems implemented."
Treering Yearbooks,[mgmt],"- Directed and coached a remote SDR team of 4–6, driving close rates as high as 72% through mentoring and process optimization.",70.0,65.0,85.0,75.0,FAIL,"The claim of a 72% close rate for an SDR team is highly implausible and likely represents a misunderstanding of SDR metrics (which typically track meetings booked or pipeline generated, not close rates) or is an inflated vanity metric."
Treering Yearbooks,[brand][mgmt],"- Directed email calendar management and segmentation strategy for year-long lifecycle campaigns, ensuring consistent brand voice, timely messaging, and alignment with sales objectives.",65.0,70.0,75.0,60.0,FAIL,"The bullet uses generic, task-oriented language ('Directed... management', 'ensuring consistent brand voice') that lacks specific metrics, tools, or tangible outcomes, making it indistinguishable from a standard job description."
Treering Yearbooks,[ops],"- Directed lifecycle campaigns for 2,000+ accounts using Salesforce and Outreach.io, incorporating personalized nurture tracks, reactivation flows, and segmented outreach.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[ops],"- Directed multi-stage lifecycle campaigns across Salesforce and Outreach.io, managing a 2,000+ account portfolio with personalized nurture tracks, reactivation flows, and segmentation strategies that supported engagement and revenue growth.",85.0,90.0,90.0,95.0,PASS,The outcome statement 'supported engagement and revenue growth' is slightly vague and lacks a specific metric or percentage to anchor the impact.
Treering Yearbooks,[email],"- Directed segmented lifecycle campaigns for my 2,000+ account portfolio, using behavioral triggers and conversion goals to guide nurture, reactivation, and outbound flows.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[generalist],"- Directly recruited by Treering's Head of Sales based on strategic approach, platform expertise, and revenue generation capability",40.0,40.0,60.0,30.0,FAIL,"The bullet relies on subjective, unverifiable claims about being 'directly recruited' and 'strategic approach' without providing any concrete evidence, metrics, or specific systems managed. It reads as a narrative of personal praise rather than a professional accomplishment."
Treering Yearbooks,[generalist],- Discovery & Demos: Ran tailored discovery and platform walkthroughs; secured concrete next steps on 90%+ of demos,70.0,65.0,85.0,75.0,FAIL,"The bullet uses a dash in prose, which is prohibited by the manager test rules, and the phrase 'Ran' is a weak, task-oriented verb."
Treering Yearbooks,[email],- Documented audience logic and lifecycle workflows so any new hire could launch a compliant campaign in under an hour.,85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[content],"- Documented campaign SOPs, segmentation logic, and QA protocols to streamline onboarding and execution.",85.0,90.0,95.0,80.0,PASS,The bullet is clear and professional but lacks a specific metric or tool mention to elevate it from a standard operational task to a high-impact achievement.
Treering Yearbooks,[email],- Documented campaign workflows and audience logic to ensure scalable execution and compliance with evolving best practices.,60.0,70.0,65.0,50.0,FAIL,"The bullet uses generic corporate language ('best practices', 'scalable execution') and lacks specific tools, metrics, or tangible outcomes, making it read like a task description rather than a high-impact achievement."
Treering Yearbooks,[ops],"- Drove B2B sales, optimized CRM systems, and crafted lifecycle-aware messaging in Outreach.io to enhance lead quality.",65.0,70.0,75.0,70.0,FAIL,"The bullet uses the banned phrase 'Drove' (often associated with vague impact) and lists three distinct, broad activities without providing a specific metric or outcome, making it read like a generic task list rather than a high-impact achievement."
Treering Yearbooks,[ops],"- Drove B2B sales, optimized Salesforce/CRM systems, and crafted conversion-focused messaging in Outreach.io.",60.0,65.0,70.0,75.0,FAIL,"The bullet uses the banned phrase 'Drove' (often associated with vague impact) and lists tasks rather than outcomes; it lacks specific metrics or a clear system-level achievement, making it feel like a generic resume filler."
Treering Yearbooks,[email],"- Drove alignment between Marketing and Sales through insights-sharing on teacher, PTA, and district-level decision patterns.",70.0,75.0,80.0,65.0,PASS,"The bullet is slightly generic and lacks a specific metric or tool mention to ground the 'alignment' claim, making it feel more like a soft-skill description than a concrete system outcome."
Treering Yearbooks,[content],- Drove alignment between Marketing and Sales through weekly insights shareouts and content performance reviews.,60.0,70.0,75.0,50.0,FAIL,"The bullet uses the vague, overused verb 'Drove' and describes a recurring task rather than a specific system or measurable outcome; it lacks concrete metrics or specific tools used to facilitate the alignment."
Treering Yearbooks,[generalist],"- Drove lead generation, becoming the first outbound employee in company to convert prospects into $1.5M+ in closed revenue.",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[generalist],"- Earned consistent praise for fast turnarounds, collaborative energy, and always delivering work that felt both smart and sincere.",20.0,30.0,40.0,10.0,FAIL,"The bullet relies entirely on subjective, unverifiable soft skills and lacks any mention of systems, tools, metrics, or specific professional outcomes."
Treering Yearbooks,[generalist],"- Enforced handoff SLAs, reminders, and context-rich notes to raise book-to-show and show-to-SQL for AEs",85.0,90.0,80.0,85.0,PASS,"The bullet lacks specific metrics to quantify the improvement in book-to-show and show-to-SQL rates, making the outcome feel slightly abstract."
Treering Yearbooks,[ops],"- Enforced stage definitions, aging alerts, next-step discipline, and loss reason codes; maintained a meetings-to-opportunities hygiene view to avoid gaps between stages",90.0,95.0,85.0,80.0,PASS,
Treering Yearbooks,[email],"- Engineered campaigns in Outreach.io using segmentation, A/B testing, and analytics to improve conversion and engagement.",65.0,70.0,75.0,80.0,FAIL,"The bullet fails because it lacks a specific outcome or metric, making it a generic task description rather than a results-oriented statement. It uses vague terms like 'improve conversion and engagement' without providing the actual data or scale of the improvement."
Treering Yearbooks,[ops][mgmt],"- Engineered logic-driven Salesforce + Outreach journeys (intent/behavior triggers, A/B tests, variable copy) and standardized QA/variables across a 20+ person remote team to raise delivery accuracy and replies.",90.0,95.0,90.0,95.0,PASS,
Treering Yearbooks,[email],"- Engineered year-long, full-funnel campaigns in Outreach.io with customized messaging, A/B testing, and logic-based branching.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[ops],"- Enhanced CRM data tracking in Salesforce and Outreach.io, optimizing pipeline workflows and marketing campaign performance.",60.0,70.0,65.0,75.0,FAIL,"The bullet uses vague, generic language ('enhanced', 'optimizing') and fails to provide a specific outcome or metric, making it read like a task description rather than a high-impact achievement."
Treering Yearbooks,[ops],"- Enhanced Outreach.io campaigns with advanced segmentation logic, optimizing response rates and strengthening pipeline quality.",60.0,65.0,70.0,75.0,FAIL,"The bullet uses vague, non-measurable outcomes ('optimizing response rates', 'strengthening pipeline quality') and lacks specific metrics or scope context to verify the claim."
Treering Yearbooks,[ops],"- Enhanced outreach by building and optimizing Outreach.io campaigns with advanced segmentation logic, improving pipeline quality.",70.0,80.0,75.0,85.0,PASS,"The bullet lacks a specific metric to quantify the improvement in pipeline quality, making the outcome feel somewhat vague."
Treering Yearbooks,[content][design],"- Ensured consistency across emails, internal decks, and social content through cross-channel visual strategy alignment",60.0,65.0,70.0,50.0,FAIL,"The bullet uses the banned phrase 'Ensured consistency' which is a vague, task-oriented claim that lacks specific metrics, tools, or a defined system, making it generic and unverifiable."
Treering Yearbooks,[design],"- Equipped Sales with activation kits (decks, one-pagers, talk tracks) to support opportunity progression and shorter sales cycles.",70.0,80.0,85.0,65.0,PASS,"The bullet is somewhat generic and lacks a specific metric or outcome (e.g., how much the sales cycle was shortened or the adoption rate of the kits)."
Treering Yearbooks,[content],- Established a cross-department Content Committee to streamline review cycles by 20% and standardize messaging across 100+ email templates and sales assets.,95.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[ops],"- Established a unique, data-focused role to uncover untapped revenue, resulting in $3M+ identified in new pipeline",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[email],"- Established comprehensive QA frameworks for campaign logic and template testing, cutting errors by 50%",85.0,85.0,90.0,80.0,PASS,
Treering Yearbooks,[mgmt],- Established feedback loops translating team insights into actionable process improvements.,50.0,60.0,60.0,40.0,FAIL,"The bullet is overly generic and lacks specific evidence, metrics, or tools; it reads as a vague corporate task description rather than a concrete outcome."
Treering Yearbooks,[ops][mgmt],- Established systematic account management processes tracking 15 data points across 200+ tasks to support informed follow-up.,85.0,90.0,85.0,80.0,PASS,
Treering Yearbooks,[generalist],"- Established testing roadmaps, regularly sharing results and actionable insights with stakeholders to drive continuous optimization.",60.0,65.0,70.0,50.0,FAIL,"The bullet is too generic, lacks specific tools or metrics, and uses vague corporate language like 'actionable insights' and 'continuous optimization' without defining the system or outcome."
Treering Yearbooks,[mgmt],- Exceeded first-year sales goals by 17%; became the first outbound team member to generate $1M+ in sourced revenue.,90.0,85.0,95.0,80.0,PASS,
Treering Yearbooks,[mgmt],- Exceeded sales target by 17% in the first year; first outbound team member to achieve $1M+ in closed revenue,90.0,85.0,95.0,80.0,PASS,
Treering Yearbooks,[mgmt],- Exceeded sales target by 17% in the first year; was the first outbound team member to achieve $1M in closed revenue.,85.0,80.0,95.0,80.0,PASS,
Treering Yearbooks,[email][content],"- Executed A/B tests on subject lines, send times, and content, with top-performing campaigns reaching 34% reply rates.",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[email][content],"- Executed A/B tests on subject lines, send times, and content, yielding top-performing campaigns with 34% reply rates and actionable insights to optimize strategies.",75.0,70.0,85.0,80.0,PASS,"The claim of a 34% reply rate is high and lacks context regarding the audience size or channel, making it feel slightly inflated without the anchoring context required by the believability rules."
Treering Yearbooks,[ops],"- Executed Salesforce Data Loader bulk operations across 2,900+ accounts, reducing manual data entry 80% with 99%+ accuracy",95.0,95.0,100.0,90.0,PASS,
Treering Yearbooks,[email],"- Executed automated email campaigns that nurtured 2,000+ accounts through complex journeys, converting leads to partnerships.",75.0,80.0,85.0,70.0,PASS,The term 'complex journeys' is slightly vague and lacks a specific tool mention or a concrete conversion metric to anchor the claim.
Treering Yearbooks,[generalist],- Executed high-intent communications converting prospects with 25% faster deal cycles through personalized messaging.,60.0,65.0,70.0,60.0,FAIL,"The bullet uses vague, unverifiable claims ('high-intent communications', 'personalized messaging') and lacks specific tools, systems, or context to anchor the 25% metric, making it feel like marketing fluff rather than a concrete professional achievement."
Treering Yearbooks,[email],"- Executed high-volume outbound campaigns with systematic A/B testing, achieving measurable engagement improvements.",50.0,60.0,65.0,60.0,FAIL,"The bullet is generic, lacks specific metrics, fails to name the tools used, and uses vague language like 'measurable engagement improvements' without providing the actual data."
Treering Yearbooks,[mgmt],"- Executed high-volume outbound campaigns, testing message variations and cadences that increased engagement rates, receiving accolades from the client’s executive leadership team during exclusive 1-on-1 sessions that strongly influenced future messaging.",50.0,55.0,60.0,65.0,FAIL,"The bullet relies on vague superlatives like 'high-volume' and 'accolades' without providing concrete metrics or specific campaign outcomes, and the mention of 'exclusive 1-on-1 sessions' feels like fluff rather than a professional achievement."
Treering Yearbooks,[email],"- Executed high-volume, targeted email outreach via Outreach.io, optimizing cadence and timing to improve engagement.",70.0,75.0,80.0,85.0,PASS,"The bullet lacks a specific metric or outcome, making the claim of 'improving engagement' unverifiable and generic."
Treering Yearbooks,[generalist],"- Executed rolling A/B and cohort tests (subject lines, send-time, UX variants) that boosted CTR 12% and reduced unsubscribes 8%.",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[email][content],"- Executed systematic A/B testing on subject lines, send times, and content, with top-performing campaigns achieving 34% reply rates.",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[email],"- Executed ≈200 lifecycle-aware emails per day via Outreach.io, continually A/B-tuning cadence and timing.",75.0,80.0,85.0,80.0,FAIL,"The bullet uses a tilde (≈) which is a form of punctuation/symbol that violates the strict formatting rules, and it describes a daily task volume rather than a strategic system or outcome."
Treering Yearbooks,[email][content],- Facilitated a statewide promotion with the Georgia PTA by developing a multi-channel content strategy that supported outreach across thousands of schools.,65.0,70.0,75.0,60.0,FAIL,"The bullet uses the banned phrase 'Facilitated', which is a synonym for 'helped with' or 'assisted with', and lacks a specific outcome or metric to ground the 'thousands of schools' claim."
Treering Yearbooks,[email],- Facilitated a statewide promotion with the Georgia PTA by developing a tailored multi-channel pitch campaign.,65.0,70.0,75.0,60.0,FAIL,"The bullet uses the banned phrase 'Facilitated', which is a synonym for 'assisted with' or 'helped with', and lacks a specific outcome or metric to prove the campaign's effectiveness."
Treering Yearbooks,[email],- Facilitated a statewide promotion with the Georgia PTA by developing a tailored multichannel pitch campaign.,65.0,70.0,75.0,60.0,FAIL,"The bullet uses the banned phrase 'Facilitated', which is a synonym for 'helped with' or 'assisted with', and lacks specific metrics or outcomes to prove the effectiveness of the campaign."
Treering Yearbooks,[content],- Facilitated monthly training and strategic planning meetings with cross-functional stakeholders and executive leadership.,60.0,65.0,70.0,50.0,FAIL,"The bullet uses the banned phrase 'Facilitated' (often synonymous with 'helped with' or 'participated in' in this context) and is too generic; it lacks specific outcomes, tools, or the actual impact of these meetings."
Treering Yearbooks,[ops][mgmt],- Fast-tracked to Team Lead within six months by consistently exceeding lead generation and pipeline-building goals.,60.0,65.0,80.0,60.0,FAIL,"The bullet uses generic, unverifiable superlatives like 'consistently exceeding' without providing specific metrics or context, and it fails to mention any tools or systems used to achieve the promotion."
Treering Yearbooks,[mgmt][ops],"- Fast-tracked to Team Lead within six months, managing a 12-person SDR team and driving high-performing pipeline results.",60.0,65.0,70.0,60.0,FAIL,"The bullet uses the forbidden filler phrase 'high-performing' and relies on vague, unverifiable claims regarding pipeline results without providing specific metrics or context."
Treering Yearbooks,[mgmt][enablement],"- Fast-tracked to Team Lead within six months, managing a 12-person team through coaching, daily huddles, and 1:1 mentorship.",85.0,80.0,90.0,70.0,PASS,
Treering Yearbooks,[ops],- First outbound employee in company history to generate $1M+ sourced revenue through sophisticated CRM segmentation and Outreach automation; exceeded first-year quota by 17%,95.0,90.0,95.0,90.0,PASS,
Treering Yearbooks,[generalist],"- First outbound employee to surpass $1M in sourced revenue, exceeding first-year goal by 17%.",95.0,90.0,100.0,85.0,PASS,
Treering Yearbooks,[generalist],"- First outbound hire to surpass $1M in sourced revenue, exceeding first-year targets by 17% through strategic lifecycle engagement.",85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[mgmt],"- First outbound team member in company history to generate $1M+ in sourced revenue, exceeding goals by 17% in year one.",95.0,90.0,95.0,85.0,PASS,
Treering Yearbooks,[mgmt],- First outbound team member in company history to generate $1M+ in sourced revenue; exceeded target by 17% in year one,95.0,90.0,95.0,85.0,PASS,
Treering Yearbooks,[mgmt],"- First outbound team member in company history to reach $1M+ in sourced revenue, achieving 117% of target in year one.",95.0,90.0,100.0,85.0,PASS,
Treering Yearbooks,[mgmt],"- First outbound team member in history to generate $1M+ in sourced revenue, exceeding KPIs by 17% in year one.",90.0,85.0,95.0,80.0,PASS,
Treering Yearbooks,[mgmt],- First outbound team member in history to reach $1M+ in sourced revenue and achieved 117% of target in year one.,90.0,85.0,95.0,80.0,PASS,
Treering Yearbooks,[mgmt],"- First outbound team member in history to reach $1M+ in sourced revenue, achieving 117% of target in year one.",95.0,90.0,95.0,85.0,PASS,
Treering Yearbooks,[mgmt],- First outbound team member to reach $1M+ in sourced revenue — achieved 117% of target in year one.,95.0,90.0,95.0,85.0,PASS,
Treering Yearbooks,[mgmt],"- First outbound team member to surpass $1M in revenue, setting a new benchmark for SDR performance.",85.0,80.0,95.0,80.0,PASS,
Treering Yearbooks,[mgmt],- First outbound team member to surpass $1M in revenue—setting a new benchmark for SDR performance.,85.0,80.0,95.0,70.0,FAIL,"The bullet contains a dash in the prose, which violates the strict formatting rules."
Treering Yearbooks,[ops],"- First-ever outbound employee to surpass $1M in revenue, contributing significantly to pipeline strategy and execution.",65.0,60.0,80.0,70.0,FAIL,"The bullet uses the vague, subjective filler phrase 'contributing significantly' and lacks specific tools or systems, making the claim feel like a generic resume boast rather than a verifiable outcome."
Treering Yearbooks,[content],- Founded Content Committee to align Sales and Marketing around unified customer messaging and retention strategy.,85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[content][mgmt],"- Founded Treering's Content Committee; authored brand guidelines adopted across sales, support, and success teams.",95.0,95.0,100.0,85.0,PASS,
Treering Yearbooks,[content],- Founded a company-wide Content Committee to unify messaging across Sales and Marketing and boost partner engagement.,85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[content],"- Founded a cross-department Content Committee, unifying Sales and Marketing and creating/maintaining a content library.",90.0,95.0,95.0,85.0,PASS,
Treering Yearbooks,[content],"- Founded a cross-department Content Committee, unifying Sales and Marketing while developing a shared content library.",95.0,95.0,95.0,85.0,PASS,
Treering Yearbooks,[content][brand],"- Founded a cross-departmental Content Committee to unify messaging across Sales/Marketing, strengthening brand consistency.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[content],- Founded a cross-functional Content Committee to align Sales and Marketing around shared messaging and tools.,90.0,95.0,95.0,85.0,PASS,
